qid,question,expected_files,expected_symbols,difficulty,category,notes,scaling_subset,in_stuffed_prefix,expected_files_last_modified,excluded,exclusion_reason
agentic_hil_q01,"Which module implements the OpenOCD debugger backend, and what class does it expose?",src/agentic_hil/backends/openocd.py,OpenOCDBackend,locate,backends,One backend per module; the class name is the distinctive token,false,,2026-09-07T01:33:03+02:00,false,
agentic_hil_q02,"Where does agentic-hil read a symbol's address and size straight out of an ELF file, without a debugger attached?",src/agentic_hil/elfsymbols.py,read_elf_symbol;read_elf_byte_order,locate,symbols,Small dedicated module; a hand-rolled ELF reader rather than pyelftools,false,,2026-09-01T20:17:44+02:00,false,
agentic_hil_q03,Where is the broker that lets several processes share one physical CAN bus?,src/agentic_hil/canbroker.py,CanBroker;BrokerDescriptor,locate,can,Described by behaviour; the module name is not guessable from the description alone,false,,2026-09-07T12:08:27+02:00,false,
agentic_hil_q04,Which module dispatches an incoming MCP JSON-RPC message to the tool service?,src/agentic_hil/mcp.py,handle_mcp_message;handle_method;call_tool,locate,mcp,Protocol envelope kept separate from the tool implementations,false,,2026-09-06T20:05:54+02:00,false,
agentic_hil_q05,Where is the JUnit XML for a plan run produced?,src/agentic_hil/junit.py,write_junit_xml;junit_xml_document,locate,reporting,CI-facing output; one module owns the whole document,false,,2026-09-04T02:30:33+02:00,false,
agentic_hil_q06,Where are secrets masked out of captured process output before it leaves the server?,src/agentic_hil/redact.py,redact_sensitive;redact_stream_text,locate,security,Behavioural description of a small single-purpose module,false,,2026-09-04T16:00:08+02:00,false,
agentic_hil_q07,Where is the pytest plugin that gives a test session its agentic_hil fixture?,src/agentic_hil/pytest_plugin.py,agentic_hil;agentic_hil_config;pytest_addoption,locate,tests,Deliberately outside the tool service so the set is not confined to one module,false,,2026-08-20T00:20:50+02:00,false,
agentic_hil_q08,"Which module arbitrates exclusive access to a bench, and what does it hand a caller that acquires one?",src/agentic_hil/coordination.py,HardwareCoordinator;HardwareLease,locate,coordination,Two paired symbols; the lease object is the answer's second half,false,,2026-09-07T12:07:47+02:00,false,
agentic_hil_q09,Where is the demo firmware that drives USART2 on the Nucleo F446RE example board?,examples/nucleo-f446re_demo/Src/main.c,main;USART2_DR,locate,examples,Non-Python file; checks the arms are not implicitly Python-only,false,,2026-08-30T13:53:03+02:00,false,
agentic_hil_q10,What does AgenticHILToolService.flash_firmware do when the payload carries both image_path and artifact_id?,src/agentic_hil/tools.py,flash_firmware;tool_error,trace,tools,Exactly-one-of validation; the refusal's error_type is the answer,false,,2026-09-07T01:33:02+02:00,false,
agentic_hil_q11,What does flash_firmware do with the ELF it remembered as the bench's symbol source when the backend raises part-way through a flash?,src/agentic_hil/tools.py,flash_firmware;_remember_symbol_elf,trace,tools,The reason is written in a comment in the source; unlikely to be recalled parametrically,false,,2026-09-07T01:33:02+02:00,false,
agentic_hil_q12,"What does listen_only_send_refusal return for a bus that is not configured listen_only, and why is that gate at the tool layer rather than in each adapter?",src/agentic_hil/can.py,listen_only_send_refusal;effective_can_adapter,trace,can,Returns None on the ordinary path; the why is in the docstring,false,,2026-09-07T09:00:25+02:00,false,
