qid,arm,question,old_golds,verdict,new_golds,operation,propose_reason,uphold,verify_reason,cost_total_billed
71,tier0d,how many games in a row have the uconn women's basketball team won,"[""111 straight wins"", ""111"", ""90""]",replace,"[""111""]",unchanged,"The passages confirm t[passage text redacted]reached 111 wins before ending in 2017, matching the recorded '111' answers. However, '90' is not supported by any passage as a UConn winning streak length, so it should be dropped.",False,"The proposal narrows the recorded answers to just ""111"", dropping both ""111 straight wins"" (a mere rephrasing of 111, harmless) and, critically, ""90"". Nothing in the passages refutes 90: the passages describe an earlier UConn streak that is traced from 81 to 82 to 87 consecutive wins (passage [5]) w",0.038702
125,tier0d,how many seasons of rules of engagement is there,"[""7"", ""seven""]",keep,[],unchanged,"The passages list seasons 1 through 6[passage text redacted], and general knowledge would suggest 7 total, but only 6 seasons are documented here individually. However, the recorded answer of 7 seasons is consistent with the show's known run; since passages only cover up to season 6 explicitly but d",False,,0.006192
129,tier0d,who is currently serving as president of the senate,"[""Orrin Hatch"", ""Patrick Leahy""]",replace,"[""Patty Murray""]",changed,"The passages indicate t[passage text redacted], not Orrin Hatch or Patrick Leahy, who are outdated.",True,"The passages directly and unambiguously settle the 'currently serving' question: passage [1] states '[passage text redacted],' sworn i[passage text redacted]nd passage [2] confirms her January 2023 election as[passage text redacted]t. ",0.028418
151,tier0d,who did america declare war on in ww1,"[""Austria-Hungary""]",replace,"[""Germany"", ""Austria-Hungary""]",changed,"The passages show the US[passage text redacted],[passage text redacted]-Hungary; Germany is the primary and first-declared war target, so the answer should include both, per passage [2].",True,"The passages overwhelmingly and explicitly establish that[passage text redacted] on April 6, 1917 ([5], [8], [9], [10]), which the recorded answer omits entirely. Passage [2] confirms America declared war '[passage text redacted]', so the proposal both adds a plainly requi",0.023909
217,tier0d,who has the most gold medals in the winter olympics of all time,"[""Norway""]",unanswerable_from_corpus,[],unchanged,"The passages discuss gold medal counts for individual Winter Olympics editions (e.g., Norway leading in 1994, 2002; Germany in 1998) but none of them provide cumulative all-time gold medal totals across all Winter Olympics editions for nations, so the claim that Norway has[passage text redacted]of al",False,,0.008974
350,tier0d,what album is sacrifice by elton john on,"[""Sleeping with the Past."", ""Sleeping with the Past""]",keep,[],unchanged,Passage [9] confirms 'Sacrifice' is from Elton John's 1989 album[passage text redacted]matching the recorded answer.,False,,0.00515
400,tier0d,when did the bill of rights come out,"[""1689"", ""16 December 1689""]",keep,[],unchanged,"Passage [10] confirms the English Bill of Rights received royal assent on 16 December 1689, matching the recorded answers '1689' and '16 December 1689'.",False,,0.004838
453,tier0d,where is the left anterior descending artery located,"[""the left coronary artery""]",keep,[],unchanged,"Passage [1] confirms the LAD[passage text redacted], matching the recorded answer.",False,,0.004722
488,tier0d,who has been appointed as the election commissioner of india,"[""Om Prakash Rawat""]",replace,"[""Anup Chandra Pandey"", ""Arun Goel""]",unchanged,"The passages show multiple people have been[passage text redacted]ver time, but the current, up-to-date list per passage 4 shows[passage text redacted] and Arun Goel as the current[passage text redacted](with Rajiv Kumar as CEC). Om Prakash Rawat was an earli[passage text redacted]",False,"The passages support the recorded answer as much as the proposed ones. Passage [5] plainly states Om Prakash [passage text redacted] [passage text redacted], so the recorded answer remains valid and the proposal would drop it. The question is undated and the ",0.03093
496,tier0d,when was the last time michigan won the championship,"[""1989""]",replace,"[""2021 (Big Ten Championship)"", ""1989 (NCAA basketball championship)""]",unchanged,"The question is ambiguous, but the passages show Michigan football won the[passage text redacted]21 (its first since 2004), while passage [10] confirms 1989 as Michigan's only NCAA[passage text redacted]. Since the recorded answer 1989 refers to basketball, but more recent championship info (20",False,"The question doesn't specify which Michigan team or which championship, and the passages don't resolve that ambiguity u2014 they simply document several different titles (the 1989 NCAA men's[passage text redacted], Michigan's only NCAA basketball title per [10], and the 2021 Big Ten football champ",0.036368
559,tier0d,sweet leavened bread prepared for easter in romania,"[""Kozunak"", ""Cozonac""]",unanswerable_from_corpus,[],unchanged,"The passages mention cozonac only in the context of Moldovan cuisine's holiday table, not specifically as an Easter bread of Romania, and 'Kozunak' does not appear in the corpus at all. None of the passages directly confirm the recorded answers as the sweet leavened Easter bread of Romania.",False,,0.006386
614,tier0d,who plays the mouse in alice in wonderland,"[""Barbara Windsor""]",keep,[],unchanged,Passage [7] confirms Barbara Windsor voices the Dormouse (mouse character) in the[passage text redacted]matching the recorded answer.,False,,0.007144
644,tier0d,where was the flag placed on the moon,"[""Hadley\u2013Apennine"", ""Sea of Tranquility"", ""Fra Mauro formation"", ""Descartes Highlands"", ""Ocean of Storms"", ""Taurus\u2013Littrow""]",unanswerable_from_corpus,[],unchanged,"The question is ambiguous without a specific mission reference, and the passages only confirm Taurus\u2013Littrow as the Apollo 17 flag site; they do not confirm the other listed sites (Sea of Tranquility, Fra Mauro, Descartes Highlands, Ocean of Storms, Hadley\u2013Apennine) as flag placement locat",False,,0.00753
697,tier0d,legislation regarding data protection and security in uk,"[""The Data Protection Act 1998"", ""Data Protection Act 1998""]",augment,"[""The Data Protection Act 1998"", ""Data Protection Act 1998"", ""Data Protection Act 2018""]",changed,"The passages show t[passage text redacted]placed the 1998 Act as the current UK data protection legislation, so it should be added as an equally valid answer.",True,"The passages state plainly and repeatedly that[passage text redacted][passage text redacted]UK[passage text redacted][passage text redacted] (passages 1, 2, 4), and it is cited as governing UK legislation on data protection (passage 10). The propo",0.029416
715,tier0d,when did they stop saying mass in latin,"[""from 1967 onwards"", ""1967""]",replace,"[""1969""]",unchanged,"The passages indicate the Tridentine Latin Mass was used until[passage text redacted]was promulgated in 1969 (with the revised[passage text redacted], which replaced the Latin liturgy widely. Passage 6 also states[passage text redacted]was [passage text redacted]ending widespread use of the Tridentine ",False,"The passages do not settle a single stopping date. They document a gradual process 
initial vernacular permissions in 1964 with translations published 1965 (passage 1), the Novus Ordo promulgated 1969 with the revised Missal in 1970 (passages 5, 6, 7)
and they also state that Latin liturgical use me",0.033898
726,tier0d,where do the phaeacians live in the odyssey,"[""Scheria""]",replace,"[""Corfu (Kerkyra)""]",unchanged,"The corpus does not directly state 'Scheria' as the Phaeacian homeland; instead, passage [3] identifies Corfu (Kerkyra) a[passage text redacted] in Homer's Odyssey.",False,"Passage [3] only records the later/traditional identification of Homer's Phaeacian island with Kerkyra (Corfu); it does not state that the Odyssey names the Phaeacians' home as Corfu, nor does any passage contradict 'Scheria'. The recorded answer remains defensible (indeed it is the name used within",0.029782
845,tier0d,who wrote the first declaration of human rights,"[""Cyrus""]",keep,[],unchanged,"Passage [5] states[passage text redacted]issued by Cyrus the Great, is seen by some[passage text redacted], supporting the recorded answer 'Cyrus'.",False,,0.004618
868,tier0d,who plays the beast on the new beauty and the beast,"[""Dan Stevens""]",augment,"[""Dan Stevens"", ""Josh Groban"", ""Anthony Evans""]",unchanged,"Passage [2] confirms Dan Stevens played the Beast[passage text redacted]film. However, passage [1] shows Josh Groban played the Beast in the 2022 ABC special '[passage text redacted]', and passage [5] shows Anthony Evans played the Beast in the 2018 Hollywood Bowl concert, both of",False,"The passages do not settle that ""the new[passage text redacted]"" means anything other tha[passage text redacted]film, in which Dan Stevens plays the Beast (passages 2, 8, 9). Josh Groban (2022 ABC 30th-anniversary special) and Anthony Evans (2018 Hollywood Bowl[passage text redacted]) are Beast performer",0.030918
891,tier0d,where does puerto rico's power come from,"[""Puerto Rico Electric Power Authority""]",augment,"[""Puerto Rico Electric Power Authority"", ""oil and natural gas fired power plants, and hydroelectric energy from reservoirs""]",changed,"The recorded answer names PREPA as the provider, which is correct, but the passages also specify the actual power sources:[passage text redacted] plus[passage text redacted] from reservoirs, which is a more complete answer to 'where does the power come from'.",True,"The addition is directly and verbatim supported by passage [1]: '[passage text redacted]' Read naturally, 'where does Puerto Rico's power come from' asks",0.058636
896,tier0d,when was the first ford f 150 made,"[""1975""]",replace,"[""1948""]",unchanged,"Passage [5] states the Ford F-Series began in 1948 (upgraded from the 1940 F100 platform), and passage [3] indicates the F-150 name specifically emerged in 1975 due to emission laws, but the first Ford F-Series truck (F-1, predecessor line to F-150) was made in 1948, not 1975. The recorded answer 19",False,"The passages support the recorded answer, not the proposal. Passage [3] ties the F-150's appearance to the 1975 emissions-law change that prompted a 'heavy half' pickup over 6000 lbs GVWR, distinguishing the F-150 from the F-100. Passage [5] dates 1948[passage text redacted](and the F-1 in passage [3",0.02356
901,tier0d,what's the largest city park in the united states,"[""Franklin Mountains State Park""]",unanswerable_from_corpus,[],unchanged,"Multiple passages describe different parks as 'one of the largest' or 'largest' in various categories (Red Mountain Park, Fairmount Park, Golden Gate Park,[passage text redacted]Jacksonville's park system), but none definitively establishes a single largest city park[passage text redacted]. T",False,,0.0058
907,tier0d,panic at the disco song about a wedding,"[""I Write Sins Not Tragedies""]",keep,[],unchanged,"The passages confirm '[passage text redacted]' is a well-known [passage text redacted], consistent with the recorded answer being about a wedding-themed song, and none of the passages provide a better-supported alternative answer that contradicts this.",False,,0.006706
