qid,question,expected_files,expected_symbols,difficulty,category,notes,scaling_subset,in_stuffed_prefix,expected_files_last_modified,excluded,exclusion_reason
q01,Where is the resolution of a request's dependencies actually performed?,fastapi/dependencies/utils.py,solve_dependencies,locate,dependencies,Core DI entry point; the single function every request passes through,true,all,2026-07-27T17:16:40Z,false,
q02,Which function converts arbitrary Python objects into JSON-compatible types before they are serialised into a response?,fastapi/encoders.py,jsonable_encoder,locate,serialization,Single well-known public helper with an unambiguous home,true,all,2026-07-28T12:28:18Z,false,
q03,Where is the handler that turns a request validation error into a 422 response defined?,fastapi/exception_handlers.py,request_validation_exception_handler,locate,errors,Small dedicated module; tests whether an arm finds the definition rather than a usage,true,all,2025-09-16T19:21:48+02:00,false,
q04,Where is the application's complete OpenAPI schema assembled from its routes?,fastapi/openapi/utils.py,get_openapi,locate,openapi,Distinguishing the assembler from FastAPI.openapi() which merely calls it,false,all,2026-07-27T17:16:40Z,false,
q05,Which function produces the Swagger UI HTML page?,fastapi/openapi/docs.py,get_swagger_ui_html,locate,openapi,Docs-UI module is separate from schema generation,false,all,2026-02-24T09:28:10Z,false,
q06,Which helper decides whether a given HTTP status code is allowed to carry a response body?,fastapi/utils.py,is_body_allowed_for_status_code,locate,responses,Small utility; hard to reach from parametric memory without naming the file,true,all,2026-02-11T18:41:21Z,false,
q07,Where is the Server-Sent Events response class defined?,fastapi/sse.py,EventSourceResponse,locate,streaming,Recent module; recency is recorded rather than avoided,false,all,2026-07-28T15:14:58Z,false,
q08,Where is OAuth2PasswordBearer implemented?,fastapi/security/oauth2.py,OAuth2PasswordBearer,locate,security,Heavily documented symbol; a likely parametric hit and useful as such,false,all,2026-03-24T17:32:10+01:00,false,
q09,"Where is FastAPI's UploadFile defined, and what does it subclass?",fastapi/datastructures.py,UploadFile,locate,request parsing,Location is non-obvious from the public import path,false,all,2026-03-15T12:44:39+01:00,false,
q10,Where is the middleware that closes the exit stack used by dependencies with yield?,fastapi/middleware/asyncexitstack.py,AsyncExitStackMiddleware,locate,middleware,One-class module; described by behaviour rather than by name,false,all,2025-09-29T05:29:38+02:00,false,
q11,Where is the implementation behind the `fastapi` command-line entry point?,fastapi/cli.py,main,locate,cli,Thin shim that delegates to fastapi_cli; tests precision about which file,false,all,2026-05-11T16:59:50+02:00,false,
q12,Where are the unit tests for jsonable_encoder?,tests/test_jsonable_encoder.py,jsonable_encoder,locate,tests,Deliberately outside the library so the question set is not confined to fastapi/,false,all,2026-08-05T09:34:07+02:00,false,
q13,Where is the documentation example showing three dependencies with yield that depend on each other?,docs_src/dependencies/tutorial008_an_py310.py,dependency_a;dependency_b;dependency_c,locate,docs examples,Requires distinguishing one tutorial variant among many near-identical ones,false,all,2026-02-12T14:19:43+01:00,false,
q14,Where is the script that builds the documentation site and regenerates the README?,scripts/docs.py,generate_readme;build_lang,locate,tooling,Repo tooling; outside both the library and its tests,false,none,2026-06-27T12:47:35Z,false,
q15,Which CI workflow runs the test suite?,.github/workflows/test.yml,test;coverage-combine,locate,ci,Non-Python file; checks the arms are not implicitly Python-only,false,none,2026-08-03T19:39:15+02:00,false,
q16,"What does APIRoute.get_route_handler return, and what wraps the object it returns?",fastapi/routing.py,get_route_handler;get_request_handler;request_response,trace,routing,Handler construction chain inside one large file,true,all,2026-07-29T19:04:36+02:00,false,
q17,What does the handler built by get_request_handler call to invoke the endpoint function and to serialise its return value?,fastapi/routing.py,get_request_handler;run_endpoint_function;serialize_response,trace,routing,Two named callees; both must be found to answer fully,true,all,2026-07-29T19:04:36+02:00,false,
q18,What does serialize_response do when the route declares no response field?,fastapi/routing.py;fastapi/encoders.py,serialize_response;jsonable_encoder,trace,serialization,Crosses from routing into encoders via the else branch,false,all,2026-07-29T19:04:36+02:00,false,
