qid,question,expected_files,expected_symbols,difficulty,category,notes,scaling_subset,in_stuffed_prefix,expected_files_last_modified,excluded,exclusion_reason
agentic_hil_q01,"Which module implements the OpenOCD debugger backend, and what class does it expose?",src/agentic_hil/backends/openocd.py,OpenOCDBackend,locate,backends,One backend per module; the class name is the distinctive token,false,,2026-09-07T01:33:03+02:00,false,
agentic_hil_q02,"Where does agentic-hil read a symbol's address and size straight out of an ELF file, without a debugger attached?",src/agentic_hil/elfsymbols.py,read_elf_symbol;read_elf_byte_order,locate,symbols,Small dedicated module; a hand-rolled ELF reader rather than pyelftools,true,,2026-09-01T20:17:44+02:00,false,
agentic_hil_q03,Where is the broker that lets several processes share one physical CAN bus?,src/agentic_hil/canbroker.py,CanBroker;BrokerDescriptor,locate,can,Described by behaviour; the module name is not guessable from the description alone,true,,2026-09-07T12:08:27+02:00,false,
agentic_hil_q04,Which module dispatches an incoming MCP JSON-RPC message to the tool service?,src/agentic_hil/mcp.py,handle_mcp_message;handle_method;call_tool,locate,mcp,Protocol envelope kept separate from the tool implementations,false,,2026-09-06T20:05:54+02:00,false,
agentic_hil_q05,Where is the JUnit XML for a plan run produced?,src/agentic_hil/junit.py,write_junit_xml;junit_xml_document,locate,reporting,CI-facing output; one module owns the whole document,false,,2026-09-04T02:30:33+02:00,false,
agentic_hil_q06,Where are secrets masked out of captured process output before it leaves the server?,src/agentic_hil/redact.py,redact_sensitive;redact_stream_text,locate,security,Behavioural description of a small single-purpose module,false,,2026-09-04T16:00:08+02:00,false,
agentic_hil_q07,Where is the pytest plugin that gives a test session its agentic_hil fixture?,src/agentic_hil/pytest_plugin.py,agentic_hil;agentic_hil_config;pytest_addoption,locate,tests,Deliberately outside the tool service so the set is not confined to one module,false,,2026-08-20T00:20:50+02:00,false,
agentic_hil_q08,"Which module arbitrates exclusive access to a bench, and what does it hand a caller that acquires one?",src/agentic_hil/coordination.py,HardwareCoordinator;HardwareLease,locate,coordination,Two paired symbols; the lease object is the answer's second half,false,,2026-09-07T12:07:47+02:00,false,
agentic_hil_q09,Where is the demo firmware that drives USART2 on the Nucleo F446RE example board?,examples/nucleo-f446re_demo/Src/main.c,main;USART2_DR,locate,examples,Non-Python file; checks the arms are not implicitly Python-only,false,,2026-08-30T13:53:03+02:00,false,
agentic_hil_q10,What does AgenticHILToolService.flash_firmware do when the payload carries both image_path and artifact_id?,src/agentic_hil/tools.py,flash_firmware;tool_error,trace,tools,Exactly-one-of validation; the refusal's error_type is the answer,false,,2026-09-07T01:33:02+02:00,false,
agentic_hil_q11,What does flash_firmware do with the ELF it remembered as the bench's symbol source when the backend raises part-way through a flash?,src/agentic_hil/tools.py,flash_firmware;_remember_symbol_elf,trace,tools,The reason is written in a comment in the source; unlikely to be recalled parametrically,false,,2026-09-07T01:33:02+02:00,false,
agentic_hil_q12,"What does listen_only_send_refusal return for a bus that is not configured listen_only, and why is that gate at the tool layer rather than in each adapter?",src/agentic_hil/can.py,listen_only_send_refusal;effective_can_adapter,trace,can,Returns None on the ordinary path; the why is in the docstring,false,,2026-09-07T09:00:25+02:00,false,
agentic_hil_q13,"What does spawn_command return when the configured executable is not there, and how is that distinguished from one that is there but will not run?",src/agentic_hil/backends/common.py,spawn_command;CompletedCommand;not_executable_refusal,trace,backends,Two failure modes with two different repairs; both halves needed,false,,2026-09-06T11:31:00+02:00,false,
agentic_hil_q14,"What does verify_port_identity compare before a serial port is opened, and what does it do when the configured USB VID/PID does not match the host port?",src/agentic_hil/comports.py,verify_port_identity;expected_port_identity;PortIdentity,trace,serial,Identity check plus its mismatch branch,false,,2026-09-07T09:00:25+02:00,false,
agentic_hil_q15,"What does terminate_process_tree do on POSIX to stop a backend's children, and how does it decide the group is actually gone?",src/agentic_hil/process.py,terminate_process_tree;_terminate_process_tree;_signal_process_group,trace,process,Process-group signalling; the Darwin zombie caveat is in the docstring,false,,2026-09-06T16:25:30+02:00,false,
agentic_hil_q16,"What does HardwareLease.quarantine do, and how does it differ from HardwareLease.release?",src/agentic_hil/coordination.py,HardwareLease;quarantine;release,trace,coordination,Two methods on one class; the contrast is the answer,false,,2026-09-07T12:07:47+02:00,false,
agentic_hil_q17,"What does flash_firmware do with the artifact before handing it to the backend, and what happens to that staged copy afterwards?",src/agentic_hil/tools.py;src/agentic_hil/artifacts.py,flash_firmware;stage_for_backend;release_stage,trace,artifacts,Crosses from the tool service into the artifact manager via a finally block,false,,2026-09-07T01:33:02+02:00,false,
agentic_hil_q18,"What does start_detached_run do that a foreground plan run does not, and what does it write so a later call can find the run again?",src/agentic_hil/runlifecycle.py,start_detached_run;spawn_run_worker;write_run_record,trace,run lifecycle,Worker spawn plus the run record; partial answers are visible in the symbol score,false,,2026-09-07T12:07:47+02:00,false,
agentic_hil_q19,How is an MCP tools/call result stopped from carrying a secret back to the client?,src/agentic_hil/mcp.py;src/agentic_hil/redact.py,call_tool;redact_sensitive;tool_result_text,multi_hop,security,Envelope to redactor; defence-in-depth described in a comment at the call site,false,,2026-09-06T20:05:54+02:00,false,
agentic_hil_q20,"How does a flash_firmware MCP call reach the ST-Link programmer, and what refuses it when flashing is disabled in the authoritative config?",src/agentic_hil/mcp.py;src/agentic_hil/tools.py;src/agentic_hil/backends/stlink.py,call_tool;flash_firmware;debugger_permissions;STLinkBackend,multi_hop,tools,"Three hops: envelope, permission gate, backend",false,,2026-09-07T07:13:04+02:00,false,
agentic_hil_q21,"How does a symbol's value get read back off the board after a flash, and where does the ELF that names that symbol come from?",src/agentic_hil/tools.py;src/agentic_hil/backends/stlink.py;src/agentic_hil/elfsymbols.py,_remember_symbol_elf;debug_symbol_value;read_elf_symbol,multi_hop,symbols,The remembered-ELF hop is the non-obvious one,true,,2026-09-07T07:13:04+02:00,false,
agentic_hil_q22,How does a CAN frame sent by one process reach a second process attached to the same bus?,src/agentic_hil/can.py;src/agentic_hil/canbroker.py,CanBusService;CanBroker;frame_to_wire,multi_hop,can,Service to broker to wire format,true,,2026-09-07T12:08:27+02:00,false,
agentic_hil_q23,"How does a plan run end up as evidence a reviewer reads in a pull request, and what stops that evidence carrying secrets?",src/agentic_hil/runevidence.py;src/agentic_hil/redact.py,write_run_evidence;job_summary;redact_sensitive,multi_hop,reporting,Evidence writer plus the redaction refusal it depends on,false,,2026-09-05T17:08:18+02:00,false,
agentic_hil_q24,"How does an edit to the config file on disk get picked up by a running server, and what refuses the reload while a run is still open?",src/agentic_hil/configreload.py;src/agentic_hil/configstate.py,reload_description;_open_run_refusal;config_status,multi_hop,config,Reload path plus the two refusals guarding it,false,,2026-09-06T20:05:55+02:00,false,
agentic_hil_q25,How does the report an agent reads back carry proof that the audit log was not edited underneath it?,src/agentic_hil/tools.py;src/agentic_hil/report.py,attach_canonical_audit_evidence;canonical_audit_evidence;append_canonical_audit_log,multi_hop,audit,"Tool surface to canonical log; the evidence is attached on read, not on write",false,,2026-09-07T04:48:05+02:00,false,
agentic_hil_q26,"Where does agentic-hil turn a symbol's memory contents into an Intel HEX file, and read one back off disk again?",src/agentic_hil/gdbmi.py,write_intel_hex_file;read_intel_hex_file;intel_hex_record,locate,memory dumps,Both directions sit beside the GDB/MI client rather than with the artifact validator,true,,2026-09-07T01:33:03+02:00,false,
