qid,question,golds,seen_in_error_audit,justification,label,your_verdict,your_note,reviewer
92,describe the three phases of the normal blood clotting process,"[""blood coagulation"", ""vasoconstriction,""]",False,gold string appears in a bibliography entry and a cascade description; no three phases given,not_supported,agree,cascade description + a bibliography title; the three phases are never enumerated,"Simon Hearne (human), 2026-09-12; NOT blind -- saw label + justification"
279,who owns the crown plaza hotel in chicago illinois,"[""InterContinental Hotels Group""]",False,"Crowne Plaza GLASGOW franchise, not the Chicago hotel",not_supported,agree,window is the Glasgow franchise; Chicago ownership never stated,"Simon Hearne (human), 2026-09-12; NOT blind -- saw label + justification"
513,who won game 4 of the 2000 nba finals,"[""Los Angeles Lakers""]",False,"covers the 2001 Finals vs the 76ers, not game 4 of the 2000 Finals",not_supported,agree_label_wrong_justification,"label right -- a 4-2 series result cannot yield a per-game winner. But the justification ('covers the 2001 Finals vs the 76ers') is wrong: the Suns/Blazers windows do cover the 2000 Finals; they just report the series, not game 4","Simon Hearne (human), 2026-09-12; NOT blind -- saw label + justification"
590,who won first ancient olympic 200 yard race,"[""Coroebus of Elis""]",False,Coroebus of Elis named as winner[passage text redacted] footrace,answerable_declined,agree,names Coroebus as winner[passage text redacted]a single stade footrace,"Simon Hearne (human), 2026-09-12; NOT blind -- saw label + justification"
992,how many seasons of from dusk till dawn are there,"[""third season""]",False,Diane Frolov [passage text redacted]; wrong show,not_supported,agree,Diane Frolov / Northern Exposure; wrong show entirely,"Simon Hearne (human), 2026-09-12; NOT blind -- saw label + justification"
1088,who is emma dating in once upon a time,"[""Hook""]",False,the passage describes Hook and Emma's relationship directly,answerable_declined,agree,multiple windows show Emma-Hook romance directly; '[passage text redacted]',"Simon Hearne (human), 2026-09-12; NOT blind -- saw label + justification"
1183,how many seasons of johnny bravo are there,"[""four""]",False,"Johnny Lozada, not Johnny Bravo",not_supported,agree,"Johnny Lozada, 'four years later'; classic incidental string hit","Simon Hearne (human), 2026-09-12; NOT blind -- saw label + justification"
1278,when was the last time the dodgers played yankees in the world series,"[""1981""]",False,Dodger Stadium lists World Series years without naming opponents,not_supported,agree,Dodger Stadium lists 10 WS years with no opponents; 1981-vs-Yankees not derivable,"Simon Hearne (human), 2026-09-12; NOT blind -- saw label + justification"
1437,what type of government is in north america,"[""Federal presidential constitutional republic"", ""federal republic""]",False,asks about a continent; the passage describes the US federal republic,ambiguous_question,disagree_precedence,"substantively right (non-recoverable, declining defensible) but the rubric says first match wins and not_supported precedes ambiguous_question. A gold ('federal republic') appears in a non-answering passage, so label 2 fires first. Same issue applies to all 5 ambiguous_question rows; moves nothing, since both labels are non-recoverable","Simon Hearne (human), 2026-09-12; NOT blind -- saw label + justification"
1660,what's the biggest nfl stadium in the united states,"[""Michigan Stadium"", ""MetLife Stadium""]",True,"MetLife named as a shared stadium, not as the largest",not_supported,agree,MetLife named only as a shared stadium; 'biggest' never claimed,"Simon Hearne (human), 2026-09-12; NOT blind -- saw label + justification"
1770,when did indoor toilets become common in america,"[""After World War I""]",True,"'After World War I' applies to LONDON housing, not America",not_supported,agree,'After World War I' attaches to LONDON housing; the §6.1 table row is accurate,"Simon Hearne (human), 2026-09-12; NOT blind -- saw label + justification"
1955,where does the cell spend most of its time in the cell cycle,"[""Interphase""]",False,PRC1 localisation during interphase; no claim about time spent,not_supported,agree,PRC1 localisation during interphase; no claim about where the cell spends most time,"Simon Hearne (human), 2026-09-12; NOT blind -- saw label + justification"
2144,who sang the songs on walk the line,"[""Reese Witherspoon"", ""Tyler Hilton"", ""Waylon Payne"", ""Johnathan Rice"", ""Shooter Jennings"", ""Joaquin Phoenix""]",False,states Phoenix and Witherspoon recorded for Walk the Line,answerable_declined,agree,"'Jackson[passage text redacted]' -- two golds, stated","Simon Hearne (human), 2026-09-12; NOT blind -- saw label + justification"
2391,what city was zeus the patron god of,"[""Olympia"", ""Elis""]",False,places the Temple and sanctuary of Zeus at Olympia,answerable_declined,agree_borderline,"lean agree, but weakest of the answerable calls. Context places the Temple/sanctuary of Zeus at Olympia; it never states patronage, and the full retrieved set names Dodona and Birgi as Zeus sanctuaries too. Inference, not statement","Simon Hearne (human), 2026-09-12; NOT blind -- saw label + justification"
2542,which layer of the meninges is connected to the brain,"[""pia mater"", ""The pia mater""]",False,names pia mater as one of the two innermost meningeal layers,answerable_declined,DISAGREE,should be not_supported. The window names[passage text redacted]pia mater as '[passage text redacted]' and says nothing about which contacts the brain -- the auditor's own justification concedes 'one of the two'. Picking pia needs outside knowledge. Checked the full 10-passage set: no passage states pia is the brain-adjacent layer. Closest rubric example: 'gold appears only as a list item',"Simon Hearne (human), 2026-09-12; NOT blind -- saw label + justification"
