qid,label_a,label_b,reason_a,reason_b,question,golds,adjudicated,class
14,ambiguous,ambiguous,"The Lion King has multiple versions (1994 original, Broadway musical, 2019 remake) with different actresses voicing Nala, and the question doesn't specify which, so multiple valid answers exist including Beyoncé who is not in the gold list.","The question doesn't specify which version (1994 animated film, 2019 remake, Broadway musical, or other adaptations) or whether speaking, singing, or cub voice is meant, and the passages show different actors for each — including[passage text redacted]which the gold list omits.",who does the voice of nala in the lion king,"[""Niketa Calame"", ""Sally Dworsky"", ""Moira Kelly"", ""Laura Williams""]",ineligible,ambiguous
19,unanswerable,ambiguous,"The passages discuss age restrictions for firearms, ammunition, and other regulated items generally, but no passage specifies a minimum age to buy a BB gun specifically, so the gold answer of 18 cannot be verified from this text.","The minimum age to buy a BB gun varies widely by jurisdiction (and the question specifies no state or country), so no single age like 18 is uniquely determined, and the passages discuss firearm purchase ages rather than BB guns specifically.",what age do you need to be to buy a bb gun,"[""18""]",ineligible,ineligible_class_disputed
30,eligible,eligible,The passages clearly confirm [passage text redacted][passage text redacted]matching the gold answers.,"The question clearly refers to the first novel[passage text redacted]series, and the passages confirm its hardcover publication date of[passage text redacted]matching the gold answers.",when was the first hunger games book published,"[""September 14, 2008"", ""2008""]",eligible,eligible
45,eligible,eligible,"The passages confirm the Dutch flag's official colors are[passage text redacted], matching the recorded gold answer.","The question asks for the Dutch flag's colors and the gold set (red, white, blue) matches the passages exactly, with order being immaterial to the set-based answer.",what are the colors of the netherlands flag,"[""blue"", ""white"", ""red""]",eligible,eligible
60,eligible,ambiguous,"Spike the bulldog is clearly identified in the passages as the primary named dog character in Tom and Jerry, matching the gold answer.","Several named dogs appear in the franchise (Spike, Tyke, Droopy, Dripple, Urfo, etc.), so asking for ""the dog's name"" without further specification does not uniquely determine Spike.",what's the dog's name on tom and jerry,"[""Spike""]",eligible,eligible
66,eligible,ambiguous,"The passages confirm the U.S[passage text redacted]ban on TV/radio took effect January 2, 1971 (with the enabling act passed in 1970), matching both recorded gold answers.","The question doesn't specify a country, and the passages give several different dates for TV cigarette ad bans (e.g., 1963, 1965, 1971, 1976) in different nations, so the US-specific gold isn't uniquely determined.",when did they stop cigarette advertising on television,"[""January 2, 1971"", ""1970""]",eligible,eligible
71,stale_gold,ambiguous,"The question lacks a time reference and the current record streak is 111 (already ended), while the more recent[passage text redacted]streak also ended per these passages, so the answer depends on which streak/time is meant and 90 is not clearly supported.","The question doesn't specify a time point or whether it means all games or[passage text redacted], and the golds mix incompatible values (111, 90) while the passages also document a[passage text redacted]streak, so no single answer is determined.",how many games in a row have the uconn women's basketball team won,"[""111 straight wins"", ""111"", ""90""]",ineligible,ineligible_class_disputed
82,unanswerable,unanswerable,"The passages discuss seasons of several different shows (Wild Thornberrys, SpongeBob, Rick and Morty, Adventure Time) but do not provide season count information specifically for the original Rugrats series.","The original Rugrats did run nine seasons, so the gold is sound, but the provided passages only discuss episode counts, spin-offs and other shows' seasons without stating Rugrats' season total.",how many seasons of the rugrats are there,"[""9 seasons"", ""9""]",ineligible,unanswerable
92,unanswerable,wrong_gold,"The passages discuss[passage text redacted] and clotting factors in general but never enumerate or describe the three specific phases (vasoconstriction, platelet plug formation, coagulation) implied by the gold answer.","The question asks for a description of three phases of clotting (vascular spasm, platelet plug formation, coagulation), but the recorded golds are just two fragmentary items ('blood coagulation' and 'vasoconstriction,') that do not constitute a correct or complete answer to the question asked.",describe the three phases of the normal blood clotting process,"[""blood coagulation"", ""vasoconstriction,""]",ineligible,ineligible_class_disputed
105,unanswerable,unanswerable,"The passages discuss various people named Gálvez but never explicitly state the etymology or origin of the surname itself, so the gold answer isn't directly supported by the given text.","The question asks about the origin of the surname Gálvez, and while the gold answer (Spanish) is sound, the passages only mention individuals bearing the name without ever stating the surname's linguistic or geographic origin.",where does the last name galvez come from,"[""Spanish surname"", ""Spanish""]",ineligible,unanswerable
108,eligible,eligible,"The passages clearly support that[passage text redacted]associated with the Four Seas, matching the gold answer despite the odd phrasing of the question.","The question asks how many seas Chinese dragons (Dragon Kings) protect, and the passages state there are four Dragon Kings for the Four Seas, matching the gold answer.",the chinese dragons are protectors of how many seas diggy,"[""Four Seas"", ""Four""]",eligible,eligible
