qid,arm,input_tokens,output_tokens,cache_creation_input_tokens,cache_read_input_tokens,turns,hit_turn_cap,stop_reason,error,wall_clock_s,started_at,answer,any_file_hit,all_files_hit,symbol_hit,matched_files,judge_correct,judge_reason,cost_total_billed,cost_agent_billed,cost_judge_billed,cost_uncached_list,in_stuffed_prefix,difficulty,scaling_subset
q39,indexed_topk3,75215,2983,0,0,8,False,end_turn,,45.376,2026-09-08T09:39:55Z,"I now have enough to give a complete answer based on `scripts/docs.py`.

## How a translated page gets built

The whole pipeline lives in **`scripts/docs.py`**, a Typer CLI that wraps the `zensical` static-site builder (a MkDocs-like tool). Docs source is organized as `docs/<lang>/docs/...`, with `docs/en/docs/...` as the canonical English source.

**Single-language build** — `build_lang(lang)` (scripts/docs.py:~139) calls:
1. `build_zensical_lang_to_stage(lang)` → `stage_zensical_docs(lang)` + `build_zensical_config(...)`
2. `copy_zensical_stage_to_site(lang)`

**`stage_zensical_docs(lang)`** (scripts/docs.py:~204) does the actual page assembly:
- Verifies `docs/<lang>/docs/` exists (aborts with ""language translation doesn't seem to exist yet"" if not).
- Copies the **entire English docs tree** (`docs/en/docs`) into a staging area (`zensical_src_path/<lang>/content`) as the baseline.
- If `lang != ""en""`, it walks every staged (English) markdown file and, for each one:
  - If a translated file exists at `docs/<lang>/docs/<relative_path>`, its content replaces the staged English content, and (unless it's the `translation-banner.md` file itself) a ""this is a translation, see English version"" banner (from `translation-banner.md`, with `ENGLISH_VERSION_URL` substituted via `get_en_url`) is prepended.
  - If no translated file exists and the path isn't in `non_translated_sections` (untranslatable areas like reference/release notes), it injects the contents of `docs/missing-translation.md` as a notice banner instead — so a page is still built, just marked as untranslated.
- Copies shared `data` and `overrides` assets from the English docs.
- Builds a per-language `mkdocs`/zensical config (via `get_updated_config_content()`), setting `docs_dir`, `site_dir`, and `site_url` (English gets the root URL, other languages presumably get `/<lang>/`).

`build_zensical_lang_to_stage` then runs `build_zensical_config`, which shells out to `zensical build --config-file ...` against that staged config, producing a `site_dir` for that language, which `copy_zensical_stage_to_site` copies into the final `./site/` (English at the root, other languages under `site/<lang>/`).

**Full-site build** — `build_all()` does the same thing for every supported language, using a multiprocessing `Pool` to parallelize `build_zensical_lang_to_stage` across languages before copying each into `./site/`.

## What determines which languages exist

- **Which language directories are discovered at all**: `get_lang_paths()` simply lists subdirectories of `docs/` (`sorted(docs_path.iterdir())`). Any directory under `docs/` is a candidate language.
- **Which of those are actually built/considered ""real"" languages**: filtered by the `SUPPORTED_LANGS` set — e.g. in `build_all()` and `langs_json()`, only `lang_path.name in SUPPORTED_LANGS` are included; unsupported directories are skipped (""Skip languages that are not yet ready"" in `get_updated_config_content`).
- **Creating a new language**: `new_lang(lang)` command creates `docs/<lang>/` with a stub `llm-prompt.md`, then calls `update_languages()`.
- **The language switcher/menu** shown on the site is generated by `get_updated_config_content()`, which builds the `extra.alternate` list in the English `mkdocs.yml`: it starts with English (`/`), then for every dir from `get_lang_paths()` that isn't `en`/`em` and *is* in `SUPPORTED_LANGS`, adds `{code: ""/<code>/""}`. Each language must have a display name registered in `docs/language_names.yml`, or the command aborts with ""Missing language name for: <code>"".
- `update_languages()` compares this computed config against `docs/en/mkdocs.yml` and rewrites/fails CI if it's out of date, keeping the language list in sync with what's actually on disk and supported.
- `ensure_non_translated()` enforces that non-English language dirs don't contain files under `non_translated_sections` (e.g., reference/release-notes content that shouldn't be translated), deleting any that are found.

So in short: **any folder under `docs/` is a potential language**, but only those listed in `SUPPORTED_LANGS` (and given a name in `docs/language_names.yml`) are actually built into the site and shown in the language switcher; the per-page translation status is determined per-file by whether a corresponding translated `.md` exists under `docs/<lang>/docs/`.",True,False,True,scripts/docs.py,True,"It correctly names scripts/docs.py with build_lang and get_lang_paths, describing English-baseline staging, per-file translation override, and the language list derived from docs/ subdirectories.",0.200045,0.18026,0.019785,0.18026,none,multi_hop,false
q02,indexed_topk3,4916,214,0,0,2,False,end_turn,,4.595,2026-09-08T09:40:46Z,"The `jsonable_encoder` function in `fastapi/encoders.py` performs this conversion. It recursively transforms arbitrary Python objects (Pydantic models, dataclasses, dicts, lists, sets, enums, paths, datetimes, etc.) into JSON-compatible types (dicts, lists, strings, numbers, `None`) so they can later be serialized (e.g., by `JSONResponse`) into a response.",True,True,True,fastapi/encoders.py,True,"The answer names jsonable_encoder in fastapi/encoders.py, matching the expected file and symbol, with accurate description of its recursive conversion behaviour.",0.017627,0.011972,0.005655,0.011972,all,locate,true
q03,indexed_topk3,2730,207,0,0,2,False,end_turn,,4.296,2026-09-08T09:40:54Z,"The default handler that converts a `RequestValidationError` into a 422 JSON response is `request_validation_exception_handler`, defined in `fastapi/exception_handlers.py` (lines ~22-29). It builds a `JSONResponse` with `status_code=422` and a `detail` field containing `jsonable_encoder(exc.errors())`. This handler is registered by default on the `FastAPI` app for the `RequestValidationError` exception.",True,True,True,fastapi/exception_handlers.py,True,"The answer names the expected file fastapi/exception_handlers.py and symbol request_validation_exception_handler, correctly describing the 422 JSONResponse behavior.",0.01323,0.00753,0.0057,0.00753,all,locate,true
q16,indexed_topk3,7469,567,0,0,3,False,end_turn,,56.478,2026-09-08T09:44:47Z,"`APIRoute.get_route_handler()` (in `fastapi/routing.py`) returns the callable produced by `get_request_handler(...)` — an async request-handling function with signature `Callable[[Request], Coroutine[Any, Any, Response]]` built from the route's dependant, body field, status code, response class/field, response-model options, dependency overrides provider, embedded body fields, strict content type, and streaming-related fields.

This returned handler is then wrapped by Starlette's `request_response()` function, which is called in `APIRoute.__init__` as:

```python
self.app = request_response(self.get_route_handler())
```

(`fastapi/routing.py`, around line 1223). `request_response()` converts the async `Request -> Response` handler into an ASGI application, which becomes `self.app` for the route.",True,True,True,fastapi/routing.py,True,"The answer correctly identifies fastapi/routing.py, get_route_handler returning get_request_handler's async Request->Response callable, wrapped by Starlette's request_response into self.app, matching expected symbols.",0.027298,0.020608,0.00669,0.020608,all,trace,true
q05,indexed_topk3,4657,193,0,0,2,False,end_turn,,4.818,2026-09-08T09:45:50Z,"The function `get_swagger_ui_html`, defined in `fastapi/openapi/docs.py`, produces the Swagger UI HTML page. It returns an `HTMLResponse` containing the full HTML markup (including the `<div id=""swagger-ui"">` and the script that initializes `SwaggerUIBundle`) used to render the interactive API docs, typically served at the `/docs` endpoint.",True,True,True,fastapi/openapi/docs.py,True,"The answer names get_swagger_ui_html in fastapi/openapi/docs.py, matching the expected file and symbol, with accurate supporting detail.",0.016719,0.011244,0.005475,0.011244,all,locate,false
q38,indexed_topk3,236218,4073,0,0,10,False,end_turn,,103.985,2026-09-08T09:45:59Z,"The **""Dependencies with yield""** tutorial (`docs/en/docs/tutorial/dependencies/dependencies-with-yield.md`) references a series of example modules under `docs_src/dependencies/` (`tutorial007…tutorial008e`, `tutorial013`, `tutorial014`), and each is backed by its own test module plus some cross-cutting behavior tests:

**1. Basic yield + try/finally (`docs_src/dependencies/tutorial007_py310.py`)**
Tested in `tests/test_tutorial/test_dependencies/test_tutorial007.py::test_get_db`, which mocks the `DBSession` class, drives the generator through `contextlib.asynccontextmanager`, and asserts the yielded session is returned and `.close()` is called afterwards — exercising the ""run code up to yield, run code after yield"" behavior described in the docs.

**2. Sub-dependencies with yield (`docs_src/dependencies/tutorial008_py310.py` / `tutorial008_an_py310.py`)**
Tested in `tests/test_tutorial/test_dependencies/test_tutorial008.py::test_get_db`, which patches `generate_dep_a`, `generate_dep_b`, `generate_dep_c` with mocks, wires `dependency_c` into a real FastAPI app/route, and checks the response — this exercises the ordered execution of nested `yield` dependencies (`dependency_c` → `dependency_b` → `dependency_a`) shown in the doc's diagrammed example.

**3. `HTTPException`, `except`, and always-`raise` variants (`tutorial008b`/`tutorial008c`/`tutorial008d_an_py310.py`)**
These illustrate catching exceptions in a `yield` dependency, the danger of swallowing them (`InternalError` class defined in `tutorial008c_an_py310.py`/`tutorial008d_an_py310.py`), and re-raising. The general mechanics they demonstrate (exception propagation through `yield` dependencies, exception-handler interplay) are covered by generic tests rather than tutorial-specific ones, notably:
- `tests/test_exception_handlers.py` (`dependency_with_yield`, `test_traceback_for_dependency_with_yield`, `test_override_http_exception`, etc.) which builds equivalent yield-dependency + `HTTPException` scenarios and checks tracebacks/overrides.
- `tests/test_dependency_after_yield_raise.py` (`test_broken_raise`, `test_broken_no_raise`) which checks behavior when a dependency raises after `yield`.

**4. `scope=""function""`/`scope=""request""` (`tutorial008e_an_py310.py`)**
The ""early exit and scope"" section is exercised by `tests/test_dependency_yield_scope.py` (e.g. `test_router_level_dep_scope_request`, `test_app_level_dep_scope_function`) and `tests/test_dependency_yield_scope_websockets.py` (`test_function_scope`, `test_request_scope`), which build apps with `Depends(..., scope=""function"")` vs `scope=""request"")` and assert the exit code runs before/after the response is sent.

**5. `yield` + `StreamingResponse` (`tutorial013_an_py310.py`, `tutorial014_an_py310.py`, referenced from `docs/en/docs/advanced/advanced-dependencies.md`)**
Exercised by `tests/test_dependency_after_yield_streaming.py` (`test_stream_session`, `test_broken_session_data`), which defines a `SessionDep`/`get_stream_session` route returning a `StreamingResponse` and confirms the dependency's session stays open while streaming and errors correctly if closed too early.

**6. WebSocket variant**
`tests/test_dependency_after_yield_websockets.py` (`test_websocket_dependency_after_yield`, `test_websocket_dependency_after_yield_broken`) exercises the same yield-teardown semantics over a WebSocket connection instead of an HTTP response.

So overall, the doc's `docs_src/dependencies/tutorial00X*.py` snippets each have a matching test in `tests/test_tutorial/test_dependencies/`, while the more subtle execution-order/exception/scope/streaming behaviors that the same doc describes are additionally verified by dedicated behavioral test files (`tests/test_exception_handlers.py`, `tests/test_dependency_after_yield_raise.py`, `tests/test_dependency_after_yield_streaming.py`, `tests/test_dependency_after_yield_websockets.py`, `tests/test_dependency_yield_scope.py`, `tests/test_dependency_yield_scope_websockets.py`).",True,False,True,tests/test_tutorial/test_dependencies/test_tutorial008.py,True,"The answer identifies docs_src/dependencies/tutorial008_an_py310.py and tests/test_tutorial/test_dependencies/test_tutorial008.py, describing the nested dependency_a/dependency_b/dependency_c yield ordering, matching expectations.",0.533476,0.513166,0.02031,0.513166,all,multi_hop,false
q27,indexed_topk3,53110,1181,0,0,8,False,end_turn,,23.224,2026-09-08T09:48:01Z,"I have enough evidence to confirm this directly from `fastapi/params.py`.

## Answer

Calling `Depends()` returns an instance of the `Depends` class itself — `fastapi.Depends` **is** `fastapi.params.Depends`, a frozen dataclass, not a factory function that wraps/returns something else.

In **`fastapi/params.py`**:
```python
@dataclass(frozen=True)
class Depends:
    dependency: Callable[..., Any] | None = None
    use_cache: bool = True
    scope: Literal[""function"", ""request""] | None = None
```

So `Depends(some_callable)` (or `Depends()`) just invokes this dataclass's generated `__init__`, producing a `params.Depends` instance whose `.dependency` attribute holds the callable you passed (or `None` if omitted), plus `use_cache` and `scope` fields.

This object is later recognized throughout the dependency-injection machinery via `isinstance(x, params.Depends)` checks, e.g. in **`fastapi/dependencies/utils.py`** (`analyze_param`, `get_parameterless_sub_dependant`, `get_dependant`) and in **`fastapi/routing.py`** (`APIWebSocketRoute`, etc.), where FastAPI inspects `.dependency`, `.use_cache`, and `.scope` to build the dependant tree and resolve/cache the dependency at request time.",True,False,True,fastapi/params.py,False,"It denies the param_functions.py factory function (the primary expected location) and fabricates params.Depends as a frozen dataclass with a scope field, misdescribing the actual code.",0.137295,0.11803,0.019265,0.11803,all,trace,false
q40,indexed_topk3,83200,2633,0,0,6,False,end_turn,,34.204,2026-09-08T09:48:46Z,"I have enough to answer comprehensively based on `fastapi/routing.py`, `fastapi/dependencies/utils.py`, `fastapi/datastructures.py`, and `fastapi/param_functions.py`.

## Flow from HTTP request to the endpoint parameter

**1. Route handler reads the raw body (`fastapi/routing.py`, in `get_request_handler`)**
When a request comes in, FastAPI's request handler determines whether the body is JSON or form data based on the dependant's body fields (specifically whether any field is a `params.Form`/`params.File`). If any body field is a `Form`/`File` field, it calls `await request.form()` (Starlette's multipart/urlencoded parser) instead of reading raw JSON bytes. This produces a Starlette `FormData` object, where uploaded files are already represented as Starlette `UploadFile` instances (since Starlette's form parser creates them for multipart file parts).

**2. Dependency resolution (`fastapi/dependencies/utils.py`)**
- `solve_dependencies` passes this `FormData` body into `request_body_to_args(body_fields, received_body, embed_body_fields)`.
- Since `received_body` is a `FormData` instance, `request_body_to_args` calls `_extract_form_body(fields_to_extract, received_body)` to turn the multi-dict form data into a plain `dict` matching each declared parameter.
- Inside `_extract_form_body`, for each body field it fetches the raw value with `_get_multidict_value(field, received_body)` (this pulls the `UploadFile` object(s) out of the `FormData`). Then:
  - If the field's `field_info` is `params.File` **and** the annotated type is `bytes` (or `Optional[bytes]`), and the value is an `UploadFile`, it does `value = await value.read()` — converting the file into raw `bytes`.
  - If the field is a `File` with a sequence-of-bytes annotation (e.g., `list[bytes]`), it reads each sub-file similarly.
  - Otherwise (i.e., annotation is `UploadFile` or `list[UploadFile]`), the value is left as the `UploadFile` object(s) from the form data, unmodified.
- The resulting dict is then validated against the field via `_validate_value_with_model_field`, which runs it through the pydantic `ModelField` validator for the declared annotation (`UploadFile`, `bytes`, or unions/lists thereof).

**3. Validation/type coercion for `UploadFile` (`fastapi/datastructures.py`)**
FastAPI defines its own `UploadFile` class (`fastapi.UploadFile`) that subclasses Starlette's `UploadFile`, adding a pydantic-compatible validator: `_validate(cls, __input_value, _)` checks `isinstance(__input_value, StarletteUploadFile)` and casts/returns it as `UploadFile`. This is what pydantic invokes during `_validate_value_with_model_field`, so the Starlette `UploadFile` produced by `request.form()` is accepted and typed as `fastapi.UploadFile` for validation purposes (they're the same object, just typed/validated via the subclass's schema, exposing async `read`/`write`/`seek`/`close` wrapped around the underlying `SpooledTemporaryFile`).

**4. Final delivery to the endpoint**
The validated value dict is merged into `values` in `solve_dependencies`, which are the kwargs used to call the actual endpoint function.

## What type the endpoint receives

- **`param: UploadFile`** (or `Annotated[UploadFile, File()]`) → the endpoint receives a `fastapi.UploadFile` instance (a Starlette `UploadFile` subclass) with attributes `filename`, `content_type`, `size`, `headers`, and file-like async methods `read`/`write`/`seek`/`close` wrapping an internal `SpooledTemporaryFile` (`fastapi/datastructures.py`, class `UploadFile`).
- **`param: bytes` with `File()`** → the endpoint receives raw `bytes` (the file's full contents read into memory), because `_extract_form_body` in `fastapi/dependencies/utils.py` calls `await value.read()` when the annotation is `bytes`.
- **`param: list[UploadFile]`** → a list of `UploadFile` objects.
- **`param: list[bytes]` with `File()`** → a list of `bytes`, each read from the corresponding uploaded file.

So the same underlying uploaded-file object from `request.form()` (a Starlette `UploadFile`) is either passed through as-is (cast/validated to `fastapi.UploadFile`) or consumed into `bytes`, depending on how the parameter's type annotation is declared alongside `File()`.",True,False,True,fastapi/param_functions.py;fastapi/datastructures.py;fastapi/dependencies/utils.py,True,"The answer correctly traces form parsing to request_body_to_args/_extract_form_body in dependencies/utils.py, the UploadFile validator in datastructures.py, and File() declaration, and accurately states the received types.",0.206455,0.19273,0.013725,0.19273,all,multi_hop,false
q07,indexed_topk3,11157,496,0,0,4,False,end_turn,,10.161,2026-09-08T09:48:32Z,"The `EventSourceResponse` class is defined in `fastapi/sse.py`, as a subclass of `StreamingResponse`:

```python
class EventSourceResponse(StreamingResponse):
    """"""Streaming response with `text/event-stream` media type.
    ...
    """"""
    media_type = ""text/event-stream""
```

This class serves as a marker (with the actual SSE encoding logic living in FastAPI's routing layer) and is used by setting `response_class=EventSourceResponse` on a path operation. The companion `ServerSentEvent` data model is also defined in the same file (`fastapi/sse.py`), and both are importable via `from fastapi.sse import EventSourceResponse, ServerSentEvent` (see `docs/en/docs/reference/sse.md`).",True,True,True,fastapi/sse.py,True,"The answer correctly identifies EventSourceResponse in fastapi/sse.py, matching the expected file and symbol, with accurate supporting detail about it subclassing StreamingResponse.",0.033659,0.027274,0.006385,0.027274,all,locate,false
q12,indexed_topk3,2785,96,0,0,2,False,end_turn,,3.603,2026-09-08T09:49:23Z,The unit tests for `jsonable_encoder` are located in **`tests/test_jsonable_encoder.py`**.,True,True,True,tests/test_jsonable_encoder.py,True,"The answer names the expected file, tests/test_jsonable_encoder.py, correctly identifying the location of jsonable_encoder unit tests.",0.01147,0.00653,0.00494,0.00653,all,locate,false
q18,indexed_topk3,14654,663,0,0,5,False,end_turn,,15.824,2026-09-08T09:49:31Z,"When a route declares no `response_model` (so `field` is `None`), `serialize_response` skips validation/field-based serialization entirely and simply returns `jsonable_encoder(response_content)` — converting the raw endpoint return value directly to a JSON-encodable representation without any Pydantic validation, filtering (include/exclude), or alias handling.

This is defined in `fastapi/routing.py`, in the `serialize_response` function (around line 300-340), specifically the final `else` branch:

```python
else:
    return jsonable_encoder(response_content)
```

For contrast, when `field` is provided, it validates `response_content` against the field (raising `ResponseValidationError` on failure) and then calls `field.serialize` (or `field.serialize_json` if `dump_json` is set), applying `include`, `exclude`, `by_alias`, `exclude_unset`, `exclude_defaults`, and `exclude_none` options — none of which apply in the no-response-field case.",True,False,True,fastapi/routing.py,True,"The answer correctly identifies serialize_response in fastapi/routing.py returning jsonable_encoder(response_content) in the else branch when no field is declared, matching expected files and symbols.",0.042683,0.035938,0.006745,0.035938,all,trace,false
