qid,arm,input_tokens,output_tokens,cache_creation_input_tokens,cache_read_input_tokens,turns,hit_turn_cap,stop_reason,error,wall_clock_s,started_at,answer,any_file_hit,all_files_hit,symbol_hit,matched_files,judge_correct,judge_reason,cost_total_billed,cost_agent_billed,cost_judge_billed,cost_uncached_list,in_stuffed_prefix,difficulty,scaling_subset,size_point,corpus_tokens,corpus_files
q01,indexed,18643,1033,0,0,2,False,end_turn,,12.498,2026-08-18T12:04:03Z,"## Answer

The actual resolution of a request's dependencies is performed by the `solve_dependencies` async function in **`fastapi/dependencies/utils.py`** (lines ~585–730).

This function:
1. Recursively resolves each `sub_dependant` in `dependant.dependencies` by recursively calling itself (`solve_dependencies`) for each sub-dependency.
2. Applies any `dependency_overrides_provider` overrides, replacing the sub-dependency's `call` if an override exists.
3. Executes each sub-dependency's callable appropriately depending on its type:
   - Generator/async-generator dependencies (i.e., `yield`-based) are executed via `_solve_generator`, using either the request-scoped or function-scoped `AsyncExitStack` (chosen based on `sub_dependant.scope`).
   - Coroutine callables are awaited directly.
   - Regular sync callables are run in a thread pool via `run_in_threadpool`.
4. Uses a `dependency_cache` (keyed by `_get_cache_key`) to reuse already-solved dependency values when `use_cache=True`.
5. After resolving sub-dependencies, it extracts path/query/header/cookie parameters via `request_params_to_args`, and body parameters via `request_body_to_args`, merging everything into a `values` dict, along with any special params (`Request`/`WebSocket`, `BackgroundTasks`, `Response`, `SecurityScopes`).
6. Returns a `SolvedDependency` dataclass containing the resolved `values`, any `errors`, `background_tasks`, `response`, and the `dependency_cache`.

### Callers
`solve_dependencies` is invoked from **`fastapi/routing.py`**:
- In `get_request_handler`'s inner `app` function (around line 480), for normal HTTP path operations, wrapped with the request's `AsyncExitStack` (`fastapi_inner_astack`).
- In `get_websocket_app`'s inner `app` function (around line 782), for WebSocket routes.
- In the `APIRoute._solve_dependencies` async context manager (around line 2216), which sets up the request-scoped and function-scoped `AsyncExitStack`s (`fastapi_inner_astack` / `fastapi_function_astack`) before calling it.

So while dependency resolution is *triggered* from `routing.py`, the actual logic that walks the dependency tree, calls each dependency callable, handles caching/overrides, and builds the final `values` dict lives in `solve_dependencies` in `fastapi/dependencies/utils.py`.",True,True,True,fastapi/dependencies/utils.py,True,"The answer correctly identifies solve_dependencies in fastapi/dependencies/utils.py as the location performing dependency resolution, with accurate supporting detail about recursion, caching, and callers.",0.057136,0.047616,0.00952,0.047616,all,locate,true,S,259429,55
q21,agentic,5129,446,0,0,3,False,end_turn,,7.98,2026-08-18T12:04:19Z,"For each parameter in an endpoint's signature, `get_dependant` (in `fastapi/dependencies/utils.py`) calls `analyze_param` (passing `param_name`, `annotation`, `value=param.default`, and `is_path_param`) to determine the parameter's details. Then, depending on the result:

- If `param_details.depends is not None`, it recursively calls `get_dependant` again on the sub-dependency's callable to build a `sub_dependant`.
- Otherwise, it calls `add_non_field_param_to_dependency` to check if the parameter is a special non-field param (like `Request`, `WebSocket`, `BackgroundTasks`, etc.) and add it directly to the `Dependant`.",True,True,True,fastapi/dependencies/utils.py,True,"The answer correctly identifies fastapi/dependencies/utils.py and that get_dependant calls analyze_param per parameter, with accurate additional detail about sub-dependants and add_non_field_param_to_dependency.",0.021308,0.014718,0.00659,0.014718,all,trace,true,S,259429,55
q17,indexed,22665,746,0,0,3,False,end_turn,,12.295,2026-08-18T12:04:33Z,"## Answer

In `fastapi/routing.py`, the inner `app` closure built by `get_request_handler` (lines ~375-755) does the following for a normal (non-streaming) endpoint:

1. **Invoking the endpoint**: it calls `run_endpoint_function(dependant=dependant, values=solved_result.values, is_coroutine=is_coroutine)` (`fastapi/routing.py:706-710`), which in turn calls `dependant.call(**values)`, either awaited directly (if it's a coroutine function) or run in a threadpool via `run_in_threadpool` (see `run_endpoint_function`, `fastapi/routing.py:345-349` and following).

2. **Serialising the return value**: if the raw return value isn't already a `Response`, it calls `serialize_response(...)` (`fastapi/routing.py:719-730`), passing `response_field`, the raw response content, and the various `response_model_*` options. `serialize_response` (defined at `fastapi/routing.py:300-338`) validates the value against the `ModelField` and then serializes it via `field.serialize_json` or `field.serialize` (or falls back to `jsonable_encoder` if there's no response field).

For streaming endpoints (SSE/JSONL generators), the handler instead calls `dependant.call(**solved_result.values)` directly to get a generator and uses an internal `_serialize_data` helper (which also relies on `stream_item_field.serialize_json` or `jsonable_encoder`/`json.dumps`) to serialize each yielded item.",True,True,True,fastapi/routing.py,True,"The answer correctly identifies fastapi/routing.py's get_request_handler calling run_endpoint_function and serialize_response, matching all expected symbols with accurate supporting detail.",0.06054,0.05279,0.00775,0.05279,all,trace,true,S,259429,55
q03,agentic,5563,327,0,0,3,False,end_turn,,6.964,2026-08-18T12:04:48Z,"The handler is `request_validation_exception_handler` in `fastapi/exception_handlers.py` (lines 20-26). It's registered as the default exception handler for `RequestValidationError` in `FastAPI.__init__` in `fastapi/applications.py` (line ~1005: `exception_handlers[RequestValidationError] = request_validation_exception_handler`), returning a `JSONResponse` with `status_code=422` and the validation errors serialized in the `detail` field.",True,True,True,fastapi/exception_handlers.py,True,The answer names the expected symbol request_validation_exception_handler in fastapi/exception_handlers.py and accurately describes the 422 JSONResponse and registration.,0.020126,0.014396,0.00573,0.014396,all,locate,true,S,259429,55
q37,indexed,10995,1545,0,0,2,False,end_turn,,17.472,2026-08-18T12:05:00Z,"## How `SecurityScopes` gets populated

**1. Declaring scopes with `Security(...)`**

`Security` is a subclass of `Depends` that adds a `scopes` field (`fastapi/params.py`, `Security` dataclass, line ~750-754).

**2. Building the dependency tree — collecting scopes**

When FastAPI builds the dependant tree in `get_dependant` (`fastapi/dependencies/utils.py:271-330`), for each sub-dependency it checks if the `Depends` instance is actually a `Security` instance:

```python
sub_own_oauth_scopes: list[str] = []
if isinstance(param_details.depends, params.Security):
    if param_details.depends.scopes:
        sub_own_oauth_scopes = list(param_details.depends.scopes)
sub_dependant = get_dependant(
    ...,
    own_oauth_scopes=sub_own_oauth_scopes,
    parent_oauth_scopes=current_scopes,
    ...
)
```

Each `Dependant` therefore stores `own_oauth_scopes` and `parent_oauth_scopes`, and scopes accumulate down the dependency chain (parent's scopes + own scopes become the `current_scopes` passed to children). This accumulation logic lives in `fastapi/dependencies/models.py` (helpers like `_get_oauth_scopes`, `_get_computed_scope`, `_uses_scopes`, `_is_security_scheme`).

**3. Detecting a `SecurityScopes` parameter**

While analyzing a callable's parameters, `add_non_field_param_to_dependency` (`fastapi/dependencies/utils.py:350-374`) checks the parameter's type annotation:

```python
elif lenient_issubclass(type_annotation, SecurityScopes):
    dependant.security_scopes_param_name = param_name
    return True
```

This records the parameter name (not its value) on the `Dependant` object, marking that this particular dependency wants to receive the aggregated scopes.

**4. Injecting the value at request time**

When FastAPI actually solves the dependency tree for a request, in `solve_dependencies` (`fastapi/dependencies/utils.py:691-731`), it checks whether the dependant recorded a `security_scopes_param_name`, and if so instantiates `SecurityScopes` with all the scopes gathered for that dependant (via `_get_oauth_scopes(dependant=dependant)`, from `fastapi/dependencies/models.py`):

```python
if dependant.security_scopes_param_name:
    values[dependant.security_scopes_param_name] = SecurityScopes(
        scopes=_get_oauth_scopes(dependant=dependant)
    )
```

`_get_oauth_scopes` (in `fastapi/dependencies/models.py`) combines `own_oauth_scopes` and `parent_oauth_scopes` recorded through the whole chain of `Security(...)` declarations that lead to that dependant, so the resulting `SecurityScopes.scopes` list reflects every scope requested by any dependency in that chain — not just the one where the `SecurityScopes` parameter is declared.

**5. The `SecurityScopes` class itself**

Defined in `fastapi/security/oauth2.py` (`class SecurityScopes`), it simply stores the `scopes` list and builds `scope_str` (space-joined scopes per OAuth2 spec) in its `__init__`.

### Summary
- `Security(dependency, scopes=[...])` (subclass of `Depends`, `fastapi/params.py`) attaches scopes to a dependency.
- `get_dependant` (`fastapi/dependencies/utils.py`) walks the dependency tree, propagating and accumulating these scopes (`own_oauth_scopes`/`parent_oauth_scopes`).
- `add_non_field_param_to_dependency` detects a parameter typed as `SecurityScopes` and records its name on the `Dependant`.
- At request-solving time, `solve_dependencies` constructs a `SecurityScopes` instance with the accumulated scopes (via `_get_oauth_scopes`) and injects it into that parameter.",True,True,True,fastapi/security/oauth2.py;fastapi/dependencies/utils.py;fastapi/params.py,True,"The answer names the correct files (params.py, dependencies/utils.py, security/oauth2.py) and symbols (Security, get_dependant, solve_dependencies, SecurityScopes) and accurately describes scope collection and injection.",0.053415,0.03744,0.015975,0.03744,all,multi_hop,true,S,259429,55
q06,agentic,5218,430,0,0,3,False,end_turn,,8.084,2026-08-18T12:05:23Z,"The helper is `is_body_allowed_for_status_code` in `fastapi/utils.py`. It returns `True` for `None`/pattern strings like `""1XX""`–`""5XX""`/`""default""`, and otherwise checks the numeric code, disallowing bodies for status codes below 200 or equal to 204, 205, or 304.

It's used in `fastapi/exception_handlers.py`, `fastapi/routing.py` (e.g., `APIRoute.get_route_handler`/response building around lines 748, 1043, 1104), and `fastapi/openapi/utils.py` (line 419) to decide whether to include/return a body for a given status code.",True,True,True,fastapi/utils.py,True,"The answer names is_body_allowed_for_status_code in fastapi/utils.py, matching the expected file and symbol, with accurate behavioral details and usage sites.",0.020791,0.014736,0.006055,0.014736,all,locate,true,S,259429,55
q16,indexed,28003,741,0,0,3,False,end_turn,,12.511,2026-08-18T12:05:34Z,"## `APIRoute.get_route_handler`

Defined in `fastapi/routing.py:1225-1247`, `get_route_handler` returns the value of `get_request_handler(...)`, i.e. a `Callable[[Request], Coroutine[Any, Any, Response]]`. Internally, `get_request_handler` (also in `fastapi/routing.py:375-...`) builds and returns an inner `async def app(request: Request) -> Response` closure that resolves dependencies, calls the endpoint, and produces the `Response`.

## What wraps it

The callable returned by `get_route_handler()` is passed into `request_response()` (`fastapi/routing.py:121-159`), which wraps it into a full ASGI application (`ASGIApp`, i.e. an `async def app(scope, receive, send)` callable). This wrapping happens in two places:

- In `APIRoute.__init__` (`fastapi/routing.py:1223`): `self.app = request_response(self.get_route_handler())`
- In `APIRoute.handle` (`fastapi/routing.py:1276`), where it's built dynamically per-request (accounting for effective route context): `app = request_response(self.get_route_handler())`, followed by `await app(scope, receive, send)`.

So `get_route_handler()`'s request-handling coroutine function is wrapped by `request_response`, which converts it into the ASGI-compatible `app` used to actually serve requests (adding exception handling via `wrap_app_handling_exceptions`, `AsyncExitStack` management for dependencies, and thread-pool execution if the handler is synchronous).",True,True,True,fastapi/routing.py,True,"Correctly states get_route_handler returns get_request_handler's async app callable, wrapped by request_response into an ASGI app in fastapi/routing.py, matching expected symbols.",0.075571,0.063416,0.012155,0.063416,all,trace,true,S,259429,55
q16,agentic,4774,457,0,0,3,False,end_turn,,8.806,2026-08-18T12:05:52Z,"`get_route_handler` returns the value of `get_request_handler(...)` (defined in `fastapi/routing.py`), which is an async callable of type `Callable[[Request], Coroutine[Any, Any, Response]]` — i.e., the request handler function built from the route's dependant, body field, status code, response class, etc.

That returned handler is then wrapped by `request_response(...)` (from Starlette, imported in `fastapi/routing.py`), and the result is assigned to `self.app` in `APIRoute.__init__` (`fastapi/routing.py:1223`): 
```python
self.app = request_response(self.get_route_handler())
```
`request_response` converts the async request-handling coroutine function into an ASGI application, which becomes the actual `app` used to serve the route.",True,True,True,fastapi/routing.py,True,"The answer correctly identifies get_route_handler returning get_request_handler's async callable in fastapi/routing.py, wrapped by request_response into an ASGI app assigned to self.app.",0.020558,0.014118,0.00644,0.014118,all,trace,true,S,259429,55
q21,indexed,21660,1137,0,0,3,False,end_turn,,13.533,2026-08-18T12:06:05Z,"## `get_dependant` per-parameter processing

In `fastapi/dependencies/utils.py` (lines 271–347), `get_dependant` iterates over each parameter in the endpoint's typed signature (obtained via `get_typed_signature`) and, for every `param_name`/`param`, calls:

1. **`analyze_param`** (`fastapi/dependencies/utils.py:381`) — this is called first for every parameter, passing `param_name`, `annotation`, `value` (the default), and `is_path_param`. It inspects `Annotated` metadata / default values to determine whether the parameter is a `Depends`/`Security` dependency, a special ""field"" parameter (`Query`, `Path`, `Body`, etc.), or a plain type, and returns a `ParamDetails` object (`type_annotation`, `depends`, `field`).

Then, based on the result of `analyze_param`, one of the following is called for each parameter:

2. **`get_dependant`** (recursive call, `fastapi/dependencies/utils.py:317`) — if `param_details.depends is not None` (i.e., the parameter is a sub-dependency declared via `Depends`/`Security`), it recursively calls `get_dependant` again with the sub-dependency's `call`, computing `sub_own_oauth_scopes`/`current_scopes` and passing along `use_cache` and `scope`. The resulting `sub_dependant` is appended to `dependant.dependencies`.

3. **`add_non_field_param_to_dependency`** (`fastapi/dependencies/utils.py:350`) — if the parameter isn't a dependency, this is called with `param_name`, `type_annotation`, and `dependant`. It checks if the parameter's type is one of FastAPI's special injectable types (`Request`, `WebSocket`, `HTTPConnection`, `Response`, `BackgroundTasks`, `SecurityScopes`) and, if so, sets the corresponding `*_param_name` attribute on `dependant` and returns `True`.

4. **`add_param_to_fields`** (`fastapi/dependencies/utils.py:550`) — if the parameter is none of the above (i.e., `add_non_field_param_to_dependency` returned falsy and `param_details.field is not None`), and the field isn't a `Body` param, this is called with `field=param_details.field` and `dependant=dependant`. It appends the field to `dependant.path_params`, `query_params`, `header_params`, or `cookie_params` based on `field_info.in_`. (If the field's `field_info` is a `params.Body`, it's instead appended directly to `dependant.body_params`.)

So, per parameter, `get_dependant` calls: `analyze_param` → then one of `get_dependant` (recursively, for sub-dependencies), `add_non_field_param_to_dependency` (for special framework types), or `add_param_to_fields`/direct append to `body_params` (for request-data fields).",True,True,True,fastapi/dependencies/utils.py,True,"The answer correctly identifies fastapi/dependencies/utils.py and that get_dependant calls analyze_param for each parameter, with accurate additional detail on subsequent branching calls.",0.064705,0.05469,0.010015,0.05469,all,trace,true,S,259429,55
q22,agentic,7548,769,0,0,3,False,end_turn,,11.651,2026-08-18T12:06:22Z,"## `solve_dependencies` in `fastapi/dependencies/utils.py`

To turn the incoming request into endpoint arguments, `solve_dependencies` (fastapi/dependencies/utils.py, line 586) calls:

1. **`request_params_to_args`** — called four times to extract and validate `path_params`, `query_params`, `header_params`, and `cookie_params` from `request.path_params`, `request.query_params`, `request.headers`, and `request.cookies` respectively (lines 681–692).

2. **`request_body_to_args`** — an `await`ed call used when `dependant.body_params` exist, converting the raw parsed `body` into the corresponding keyword values (lines 698–706).

3. Recursively, **`solve_dependencies`** itself — for each `sub_dependant` in `dependant.dependencies`, it recursively resolves the values needed by that sub-dependency (line 640), then invokes the sub-dependency callable (directly, via `await call(...)`, `run_in_threadpool`, or `_solve_generator` for generator dependencies) to get its resolved value, which is merged into `values`.

Additionally, for special parameter types it directly assigns request-derived objects rather than calling a helper: `request`/`websocket` object itself, `background_tasks`, `response`, and `SecurityScopes` (built via `_get_oauth_scopes`) are placed into `values` based on the dependant's special parameter name attributes (lines 709–724).

The final merged `values` dict (plus any `errors`) is returned as a `SolvedDependency`, which is what gets used later (in `fastapi/routing.py`) to actually call the endpoint function.",True,True,True,fastapi/dependencies/utils.py,True,"The answer names fastapi/dependencies/utils.py and identifies request_params_to_args and request_body_to_args within solve_dependencies, matching the expected file and symbols with accurate extra detail.",0.030866,0.022786,0.00808,0.022786,all,trace,true,S,259429,55
