qid,human_label,model_class,verdict,your_note,reviewer
3276,eligible,eligible,agree,Passages state 2013 legislation reinstat[passage text redacted]for[passage text redacted],"Simon Hearne (human), 2026-09-12; BLIND -- did not see either model's label"
3570,eligible,eligible,agree,Passage identifies Rose Stagg in The Fall as played by Valene Kane.,"Simon Hearne (human), 2026-09-12; BLIND -- did not see either model's label"
978,unanswerable,unanswerable,agree,Passages cover the church's bells and unrelated churches; Newman/Pulling and the 1775 lanterns never appear.,"Simon Hearne (human), 2026-09-12; BLIND -- did not see either model's label"
290,wrong_gold,ineligible_class_disputed,agree,"Gold is a ""---"" placeholder, not an answer, and the passages give no breed count either.","Simon Hearne (human), 2026-09-12; BLIND -- did not see either model's label"
3323,eligible,eligible,agree,Passage confirms[passage text redacted]wrote the song.,"Simon Hearne (human), 2026-09-12; BLIND -- did not see either model's label"
1244,eligible,eligible,agree,"Passage credits Janis Joplin with writing ""Mercedes Benz"", matching the gold.","Simon Hearne (human), 2026-09-12; BLIND -- did not see either model's label"
2531,ambiguous,ambiguous,agree,"Passages name Cabot, Corte-Real, Lavrador and Cartier as early Newfoundland voyagers; question doesn't single one out.","Simon Hearne (human), 2026-09-12; BLIND -- did not see either model's label"
3595,wrong_gold,wrong_gold,agree,"Coton in the Elms is a village (fa[passage text redacted]), not a city.","Simon Hearne (human), 2026-09-12; BLIND -- did not see either model's label"
2128,unanswerable,unanswerable,agree,"Passages describe Sunshine, Dream and Royal classes; Carnival Glory and Conquest class are never mentioned.","Simon Hearne (human), 2026-09-12; BLIND -- did not see either model's label"
2332,eligible,eligible,agree,Passage states malonyl-CoA supplies the malonate used[passage text redacted],"Simon Hearne (human), 2026-09-12; BLIND -- did not see either model's label"
1056,ambiguous,ambiguous,agree,"""Highest selling R&B artist"" is ill-defined (two conflicting golds); passages only cite R. Kelly and Franklin figures.","Simon Hearne (human), 2026-09-12; BLIND -- did not see either model's label"
3453,ambiguous,ineligible_class_disputed,agree,"Question admits many locations (Pacific rim, Indian Ocean, Mediterranean); gold picks one example the passages never name.","Simon Hearne (human), 2026-09-12; BLIND -- did not see either model's label"
552,eligible,eligible,agree,Passages confirm the draft was suspended January 1973 and the last draftee entered June 1973.,"Simon Hearne (human), 2026-09-12; BLIND -- did not see either model's label"
1094,wrong_gold,ineligible_class_disputed,agree,"Question conflates NYHA with[passage text redacted], and gold ""II"" is a single class, not the classification.","Simon Hearne (human), 2026-09-12; BLIND -- did not see either model's label"
2501,eligible,eligible,agree,Passage dates the Rowland–Molina discovery to 1974.,"Simon Hearne (human), 2026-09-12; BLIND -- did not see either model's label"
1005,stale_gold,ineligible_class_disputed,agree,Passages show[passage text redacted][passage text redacted]19; Flanagan became minority leader and resigned in 2020.,"Simon Hearne (human), 2026-09-12; BLIND -- did not see either model's label"
1837,ambiguous,eligible,disagree,"Several industrial cities lie on the canal; passage supports Duisburg but gold also lists Henrichenburg, a ship lift.","Simon Hearne (human), 2026-09-12; BLIND -- did not see either model's label"
482,unanswerable,eligible,disagree,"Passages cover the 1998 and 2014 goalkeeper awards, not the 2006 Yashin Award.","Simon Hearne (human), 2026-09-12; BLIND -- did not see either model's label"
604,unanswerable,unanswerable,agree,No passage concerns the 1966 film El Dorado or its cast.,"Simon Hearne (human), 2026-09-12; BLIND -- did not see either model's label"
352,eligible,eligible,agree,Passage states Guinness named Ashrita Furman the [passage text redacted].,"Simon Hearne (human), 2026-09-12; BLIND -- did not see either model's label"
