gate,passed,n_cells,basis,offending_cells,n_arms_score_ordered,arms_not_score_ordered,arms_wrong_width,n_committed_checked,n_committed_mismatched,phase,kind,n,n_reproduced,threshold,depths_at_noise,n_depths,spent,limit,R,ci_lo,ci_hi,n_disagree,min_n,always_by_k,never_by_k,detail,max_pair,k_lo,k_hi,min_diff,branch
K1,True,4.0,264 qids x 4 arms; x-axis recall_at_10,[],,,,,,phase0_by_construction,gate,,,,,,,,,,,,,,,,,,,,
K2,True,,,,4.0,[],[],1350.0,0.0,phase0_by_construction,gate,,,,,,,,,,,,,,,,,,,,
K3,True,,,,,,,,,phase1,gate,60.0,60.0,58.0,,,,,,,,,,,,,,,,,
K1,True,4.0,264 qids x 4 arms; x-axis recall_at_10,[],,,,,,phase2_real_data,gate,,,,,,,,,,,,,,,,,,,,
K4,True,,,,,,,,,,gate,,,,[],4.0,,,,,,,,,,,,,,,
K5,True,,,,,,,,,,gate,,,,,,24.684498,35.0,,,,,,,,,,,,,
K6,True,,,,,,,,,,gate,,,,,,,,0.03409090909090909,0.015152,0.056818,9.0,5.0,,,,,,,,
P1,True,,,,,,,,,,prediction,,,,,,,,,,,,,"{""1"": 104, ""3"": 111, ""5"": 116, ""10"": 123}",,,,,,,
P2,True,,,,,,,,,,prediction,,,,,,,,,,,,,,"{""1"": 101, ""3"": 91, ""5"": 83, ""10"": 65}",,,,,,
generation_vintage_note,,,,,,,,,,,note,,,,,,,,,,,,,,,"k=10's four cells are NOT one generation vintage: sq8_np4/sq8_np512 are WS4's 2026-09-06/07 rows, sq8_np48 is WS4d Phase 3's 2026-09-12 rows, sq8_np1 is WS4e's own 2026-09-13 row. k in {1,3,5} are entirely 2026-09-13 (WS4e). Gate K3 re-judges committed rows to test JUDGE reproduction only -- it does not test generator drift across these vintages, and no gate here does.",,,,,
flatness,True,,264 qids x 4 arms; x-axis recall_at_10,,,,,,,phase2,diagnostic,,,,,,,,,-0.330725,-0.075564,,,,,,0.202247,1.0,5.0,0.1,X-B
