qid,question,golds,seen_in_error_audit,label,justification,auditor
92,describe the three phases of the normal blood clotting process,"[""blood coagulation"", ""vasoconstriction,""]",False,not_supported,gold string appears in a bibliography entry and a cascade description; no three phases given,"claude-opus-5 (in-session, 2026-09-11); PROVISIONAL, human spot-check pending"
105,where does the last name galvez come from,"[""Spanish surname"", ""Spanish""]",False,not_supported,lists of Spaniards naming Bernardo de Galvez; surname origin never stated,"claude-opus-5 (in-session, 2026-09-11); PROVISIONAL, human spot-check pending"
206,when does the miz and maryse show start,"[""2018""]",False,not_supported,2018 appears in unrelated WWE contexts; the Miz & Mrs start date is absent,"claude-opus-5 (in-session, 2026-09-11); PROVISIONAL, human spot-check pending"
217,who has the most gold medals in the winter olympics of all time,"[""Norway""]",True,not_supported,per-Games medal tables for 1994/1998/2002; no all-time total,"claude-opus-5 (in-session, 2026-09-11); PROVISIONAL, human spot-check pending"
279,who owns the crown plaza hotel in chicago illinois,"[""InterContinental Hotels Group""]",False,not_supported,"Crowne Plaza GLASGOW franchise, not the Chicago hotel","claude-opus-5 (in-session, 2026-09-11); PROVISIONAL, human spot-check pending"
337,when was the taming ofthe shrew first performed,"[""prior to June 1592""]",False,answerable_declined,"the passage states the play was written prior to June 1592, matching the gold verbatim","claude-opus-5 (in-session, 2026-09-11); PROVISIONAL, human spot-check pending"
416,what position did doug peterson play in the nfl,"[""holder on placekicks"", ""quarterback""]",False,not_supported,Adrian Peterson passage; wrong person entirely,"claude-opus-5 (in-session, 2026-09-11); PROVISIONAL, human spot-check pending"
482,who won the award for best goalkeeper in football world cup 2006,"[""Gianluigi Buffon""]",False,not_supported,"Buffon named as a goalkeeper-captain, never as the 2006 award winner","claude-opus-5 (in-session, 2026-09-11); PROVISIONAL, human spot-check pending"
484,is a network connection device that can build tables that identify addresses on each network,"[""routing table"", ""a router""]",False,answerable_declined,routing table article states a router builds and uses a routing table,"claude-opus-5 (in-session, 2026-09-11); PROVISIONAL, human spot-check pending"
508,who sings got my mind set on you,"[""James Ray"", ""George Harrison""]",False,answerable_declined,a critic quote attributes 'Got My Mind Set on You' to George Harrison,"claude-opus-5 (in-session, 2026-09-11); PROVISIONAL, human spot-check pending"
513,who won game 4 of the 2000 nba finals,"[""Los Angeles Lakers""]",False,not_supported,"covers the 2001 Finals vs the 76ers, not game 4 of the 2000 Finals","claude-opus-5 (in-session, 2026-09-11); PROVISIONAL, human spot-check pending"
559,sweet leavened bread prepared for easter in romania,"[""Kozunak"", ""Cozonac""]",True,not_supported,cozonac listed among holiday baked items; Easter specificity never established,"claude-opus-5 (in-session, 2026-09-11); PROVISIONAL, human spot-check pending"
590,who won first ancient olympic 200 yard race,"[""Coroebus of Elis""]",False,answerable_declined,Coroebus of Elis named as winner of the first recorded Olympic footrace,"claude-opus-5 (in-session, 2026-09-11); PROVISIONAL, human spot-check pending"
621,cast of law & order special victim unit,"[""Kelli Giddish"", ""Richard Belzer"", ""Stephanie March"", ""Diane Neal"", ""Ice-T"", ""Danny Pino"", ""Dann Florek"", ""Tamara Tunie"", ""Michaela McManus"", ""Mariska Hargitay"", ""Adam Beach"", ""B. D. Wong"", ""Christopher Meloni"", ""Ra\u00fal Esparza"", ""Michelle Hurd"", ""Peter Scanavino""]",False,answerable_declined,"season cast lists name Meloni, Hargitay, Belzer and Florek, all golds","claude-opus-5 (in-session, 2026-09-11); PROVISIONAL, human spot-check pending"
754,where was the tv show high chaparral filmed,"[""California"", ""Saguaro National Park"", ""Old Tucson Studios in Arizona""]",False,not_supported,High Noon and Highway to Heaven; High Chaparral never mentioned,"claude-opus-5 (in-session, 2026-09-11); PROVISIONAL, human spot-check pending"
896,when was the first ford f 150 made,"[""1975""]",True,answerable_declined,1975 emissions change and the F-150 response are both stated; 1975 is derivable,"claude-opus-5 (in-session, 2026-09-11); PROVISIONAL, human spot-check pending"
931,what kind of animals live in the great victoria desert,"[""malleefowl"", ""water-holding frog"", ""great desert skink"", ""sandhill dunnart"", ""dingo"", ""sand goanna"", ""crest-tailed mulgara"", ""southern marsupial mole"", ""chestnut-breasted whiteface"", ""perentie""]",False,not_supported,"Great SANDY Desert, not the Great Victoria Desert","claude-opus-5 (in-session, 2026-09-11); PROVISIONAL, human spot-check pending"
972,what is the collection of the districts to the east of the jordan river,"[""Jordan"", ""Golan Heights""]",False,not_supported,Jordan River geography; the districts east of it are never collected under a name,"claude-opus-5 (in-session, 2026-09-11); PROVISIONAL, human spot-check pending"
992,how many seasons of from dusk till dawn are there,"[""third season""]",False,not_supported,Diane Frolov on Northern Exposure; wrong show,"claude-opus-5 (in-session, 2026-09-11); PROVISIONAL, human spot-check pending"
1020,who coined the phrase let get ready to rumble,"[""Michael Buffer""]",False,answerable_declined,attributes 'Let's get ready to rumble!' to Michael Buffer,"claude-opus-5 (in-session, 2026-09-11); PROVISIONAL, human spot-check pending"
