qid,title,sent_chars,n_chunks_strict,n_chunks_quoted,best_token_containment,token_margin,token_unique,short,adjacent_chunks,n_title_chunks
5ab381b155429969a97a816b,Zilpo Road,94,0,0,0.6111,0.3333,False,False,False,2
5ab381b155429969a97a816b,"Morehead, Kentucky",150,1,1,1.0,0.625,True,False,False,21
5ae6038155429929b0807a55,Funnybot,164,0,0,0.9615,0.5769,True,False,False,15
5ae6038155429929b0807a55,South Park (season 10),143,0,1,1.0,0.7083,True,False,False,3
5ab292e4554299545a2cf993,Royal Spa Centre,61,1,1,1.0,0.6,True,False,False,4
5ab292e4554299545a2cf993,Royal Spa Centre,134,0,0,0.9565,0.7391,True,False,False,4
5ab292e4554299545a2cf993,Anthony Eden,247,0,0,0.7692,0.359,False,False,False,137
5ab3dad4554299753aec59cb,"Hot Coffee, Mississippi",94,1,1,1.0,0.5833,True,False,False,4
5ab3dad4554299753aec59cb,"Hot Coffee, Mississippi",60,1,1,1.0,0.8,True,False,False,4
5ab3dad4554299753aec59cb,"Collins, Mississippi",66,1,1,1.0,0.4,True,False,False,23
5ab3dad4554299753aec59cb,"Collins, Mississippi",44,1,1,1.0,0.5,True,False,False,23
5ae4ba9255429913cc2044e6,Bunkhouse Stampede (1988),267,0,0,0.9355,0.5806,True,False,False,15
5ae4ba9255429913cc2044e6,Bunkhouse Stampede (1988),107,0,0,1.0,0.7059,True,False,False,15
5ae4ba9255429913cc2044e6,"Uniondale, New York",161,0,0,0.9231,0.5,True,False,False,15
5ae753b75542997b22f6a6db,Jayantabhai Ki Luv Story,63,1,1,1.0,0.7273,True,False,False,6
5ae753b75542997b22f6a6db,Neha Sharma,76,0,0,0.6923,0.3846,False,False,False,5
5ae753b75542997b22f6a6db,Neha Sharma,181,1,1,1.0,0.7917,True,False,False,5
5ac0551b5542997d64295a07,"St James Street, Monmouth",90,1,1,1.0,0.2143,True,False,False,10
5ac0551b5542997d64295a07,"St James Street, Monmouth",138,1,1,1.0,0.1818,True,False,False,10
5ac0551b5542997d64295a07,John Speed,83,0,0,1.0,0.4286,True,False,False,60
5ac0551b5542997d64295a07,John Speed,59,0,0,0.5,0.0,False,False,False,60
5a81fab9554299676cceb1b1,Nathaniel Fillmore,157,0,0,1.0,0.5455,True,False,False,10
5a81fab9554299676cceb1b1,Millard Fillmore,173,0,0,0.8519,0.2593,True,False,False,86
5ab6ef2f554299710c8d1fc5,"Lindenhurst, New York",129,1,1,1.0,0.55,True,False,False,24
5ab6ef2f554299710c8d1fc5,"Suffolk County, New York",108,0,0,0.8333,0.0,False,False,False,63
5a78d1bd55429974737f78bd,Kerrygold Irish Cream Liqueur,137,1,1,1.0,0.4091,True,False,False,7
5a78d1bd55429974737f78bd,Ornua,235,0,0,0.9032,0.6452,True,False,False,7
5abd40585542993062266c3e,"West Ridge, Accra",79,0,0,0.9091,0.4545,True,False,False,3
5abd40585542993062266c3e,"North Ridge, Accra",133,0,0,1.0,0.7333,True,False,False,2
5abd40585542993062266c3e,"North Ridge, Accra",84,1,1,1.0,0.3636,True,False,False,2
5ab2b89d554299166977406e,Cardwellia,168,0,0,0.619,0.2381,False,False,False,13
5ab2b89d554299166977406e,Ochagavia,83,0,0,0.9091,1.0,True,False,False,1
5ab2b89d554299166977406e,Ochagavia,75,1,1,1.0,1.0,True,False,False,1
5ab2b89d554299166977406e,Ochagavia,129,1,1,1.0,1.0,True,False,False,1
5a903a4855429933b8a204a9,Fanny Talbot,147,1,1,1.0,0.5714,True,False,False,8
5a903a4855429933b8a204a9,John Ruskin,206,0,0,0.6552,0.2069,False,False,False,210
