qid,arm,subset,question,golds,answer,stop_reason,retrieved_ids,recall_at_10,answer_presence_at_10,em,f1,idk,judge_correct,judge_reason,input_tokens,output_tokens,cache_creation_input_tokens,cache_read_input_tokens,judge_input_tokens,judge_output_tokens,cost_gen_usd,cost_judge_usd,cost_total_billed,wall_clock_s,request_id,started_at,gen_model,judge_model,answer_presence_at_10_gt
13,mrl_512_sq8_np512,sanity,who was the actor that played ben stone on law and order,"[""Michael Moriarty""]",Michael Moriarty,end_turn,"[647340, 2164979, 6675506, 7508123, 9136068, 5157303, 7355922, 5903813, 5056758, 9212903]",0.7,True,1,1.0,False,True,"The candidate names Michael Moriarty, matching the gold answer exactly.",1786,10,0,0,545,40,0.003672,0.003725,0.007397,2.298,req_011Ceonx7fh4qws4Zg3C5tDv,2026-09-07T08:50:56Z,claude-sonnet-5,claude-opus-5,True
14,mrl_512_sq8_np512,main,who does the voice of nala in the lion king,"[""Niketa Calame"", ""Sally Dworsky"", ""Moira Kelly"", ""Laura Williams""]",Moira Kelly,end_turn,"[8128814, 8086087, 38826, 8128878, 9874371, 3602154, 630360, 5685211, 4696263, 2988093]",0.8,True,1,1.0,False,True,"Moira Kelly voiced adult Nala in The Lion King, matching one of the listed gold answers.",2169,9,0,0,568,49,0.004428,0.004065,0.008493,1.334,req_011CeomJXeAPfhMkUnZ2uSzo,2026-09-07T08:29:19Z,claude-sonnet-5,claude-opus-5,True
19,mrl_512_sq8_np512,main,what age do you need to be to buy a bb gun,"[""18""]",I don't know,end_turn,"[1619824, 3841948, 3842480, 3842478, 515122, 3842479, 8811821, 9549263, 6675973, 3842442]",0.8,True,0,0.0,True,False,"The candidate declines to answer, providing no factual claim matching the gold answer of 18.",1770,6,0,0,535,43,0.0036,0.00375,0.00735,1.367,req_011CeomyFVQ6DRZY7moJmqWw,2026-09-07T08:38:04Z,claude-sonnet-5,claude-opus-5,True
30,mrl_512_sq8_np512,main,when was the first hunger games book published,"[""September 14, 2008"", ""2008""]","September 14, 2008",end_turn,"[1708618, 1708629, 1708630, 7451217, 1708616, 7451218, 7451221, 7451250, 7451122, 1708637]",0.9,True,1,1.0,False,True,"The candidate answer matches the gold answer exactly, stating September 14, 2008.",2630,9,0,0,543,42,0.00535,0.003765,0.009115,3.151,req_011Ceonnr463d6n6HSXkytDi,2026-09-07T08:48:52Z,claude-sonnet-5,claude-opus-5,True
45,mrl_512_sq8_np512,main,what are the colors of the netherlands flag,"[""blue"", ""white"", ""red""]","Red, white, and blue.",end_turn,"[7951675, 7951673, 7951688, 7951702, 7951674, 7951678, 7951679, 7951683, 7951689, 7951709]",0.9,True,0,0.4,False,True,"The candidate lists red, white, and blue, matching the gold answers for the Dutch flag's colors.",1621,11,0,0,544,48,0.003352,0.00392,0.007272,1.28,req_011Ceonvft89pufgET28c8X7,2026-09-07T08:50:35Z,claude-sonnet-5,claude-opus-5,True
60,mrl_512_sq8_np512,main,what's the dog's name on tom and jerry,"[""Spike""]",Spike,end_turn,"[2014188, 2014141, 2014138, 2014199, 2014173, 2014198, 2014134, 2014210, 2014145, 2014181]",0.8,True,1,1.0,False,True,"The candidate answer ""Spike"" matches the gold answer exactly.",2470,5,0,0,534,39,0.00499,0.003645,0.008635,1.316,req_011CeokYMunozwMqqksKLfpX,2026-09-07T08:19:20Z,claude-sonnet-5,claude-opus-5,True
66,mrl_512_sq8_np512,main,when did they stop cigarette advertising on television,"[""January 2, 1971"", ""1970""]",2 January 1971,end_turn,"[4203543, 7979125, 4203508, 4203522, 4203537, 4541160, 4629731, 3761768, 4548204, 4203521]",0.9,True,0,1.0,False,True,"The candidate gives January 2, 1971, matching a gold answer with only formatting differences.",1933,8,0,0,546,44,0.003946,0.00383,0.007776,3.834,req_011CeomSMnYvka7zdrN9XHFs,2026-09-07T08:31:07Z,claude-sonnet-5,claude-opus-5,True
71,mrl_512_sq8_np512,main,how many games in a row have the uconn women's basketball team won,"[""111 straight wins"", ""111"", ""90""]",126,end_turn,"[3856534, 3856536, 3856522, 5577635, 3856528, 3856520, 3856523, 3856526, 3856539, 2204207]",0.8,True,0,0.0,False,False,"The candidate states 126 consecutive wins, which does not match any accepted gold answer (111 or 90).",2044,3,0,0,548,50,0.004118,0.00399,0.008108,1.239,req_011CeomTDTmfLrTkrj4k3hMN,2026-09-07T08:31:16Z,claude-sonnet-5,claude-opus-5,True
82,mrl_512_sq8_np512,main,how many seasons of the rugrats are there,"[""9 seasons"", ""9""]",I don't know,end_turn,"[9267504, 1775941, 9362792, 4159941, 5399604, 3205081, 4327276, 9675562, 6608226, 6505474]",0.5,True,0,0.0,True,False,"The candidate declines to answer, providing no factual claim matching the gold answer of 9 seasons.",1954,6,0,0,541,47,0.003968,0.00388,0.007848,2.686,req_011CeonRfcwh9wch9JTotp8s,2026-09-07T08:44:04Z,claude-sonnet-5,claude-opus-5,True
92,mrl_512_sq8_np512,main,describe the three phases of the normal blood clotting process,"[""blood coagulation"", ""vasoconstriction,""]",I don't know,end_turn,"[8824547, 3448289, 5840719, 7153785, 533480, 533481, 7559119, 7887297, 5039093, 5561044]",0.6,True,0,0.0,True,False,"The candidate explicitly says it does not know, providing no factual content matching any gold answer.",1934,6,0,0,550,43,0.003928,0.003825,0.007753,1.683,req_011Ceom5y1XqpoqGtryqUGww,2026-09-07T08:26:29Z,claude-sonnet-5,claude-opus-5,True
