qid,question,expected_documents,hops,stratum,repo,head_number,tail_number,grep_handle,excluded,exclusion_reason
ws8_q001,"In rust-lang/rust, someone reported: ""ConstantIndex and Index not flagged as potential aliases"" What was this eventually traced to, and what resolved it?",rust-lang__rust__160525.md,1,hop1,rust-lang/rust,160525,160525,7.8435,False,
ws8_q002,"In rust-lang/rust, someone reported: ""tests/ui/codegen/huge-stacks.rs fails in a constrained QEMU environment where the guest has 1 GB of RAM"" What was this eventually traced to, and what resolved it?",rust-lang__rust__158557.md,1,hop1,rust-lang/rust,158557,158557,6.7448,False,
ws8_q003,"In rust-lang/rust, someone reported: ""rustc suggests incorrect labeling of try block"" What was this eventually traced to, and what resolved it?",rust-lang__rust__160987.md,1,hop1,rust-lang/rust,160987,160987,6.8626,False,
ws8_q004,"In rust-lang/rust, someone reported: ""Tracking issue for release notes of #…: Convert `-Ctarget-cpu` into a target-modifier for AVR, AMDGCN and NVPTX"" What was this eventually traced to, and what resolved it?",rust-lang__rust__159823.md,1,hop1,rust-lang/rust,159823,159823,6.0517,False,
ws8_q005,"In kubernetes/kubernetes, someone reported: ""EvictionRequest: add CRUD tests for conformance"" What was this eventually traced to, and what resolved it?",kubernetes__kubernetes__140523.md,1,hop1,kubernetes/kubernetes,140523,140523,7.1503,False,
ws8_q006,"In rust-lang/rust, someone reported: ""Tracking Issue for `std::fs::MediaDirs` (`feature(fs_media_dirs)`)"" What was this eventually traced to, and what resolved it?",rust-lang__rust__162083.md,1,hop1,rust-lang/rust,162083,162083,8.2489,False,
ws8_q007,"In rust-lang/rust, someone reported: ""Undefined symbol with panic=abort and sysroot compiled in debug mode"" What was this eventually traced to, and what resolved it?",rust-lang__rust__159682.md,1,hop1,rust-lang/rust,159682,159682,4.1218,False,
ws8_q008,"In rust-lang/rust, someone reported: ""Tracking issue for release notes of #…: Tracking Issue for `strip_circumfix`"" What was this eventually traced to, and what resolved it?",rust-lang__rust__157850.md,1,hop1,rust-lang/rust,157850,157850,6.3771,False,
ws8_q009,"In rust-lang/rust, someone reported: ""[ICE]: debuginfo: `has escaping bound vars, so it cannot be wrapped in a dummy binder.`"" What was this eventually traced to, and what resolved it?",rust-lang__rust__159576.md,1,hop1,rust-lang/rust,159576,159576,5.0102,False,
ws8_q010,"In rust-lang/rust, someone reported: ""`MIR_borrow_checking` scales with captured-type nesting when an async block is boxed at a distinct return region (the `#[async_trait]` shape)"" What was this eventually traced to, and what resolved it?",rust-lang__rust__158224.md,1,hop1,rust-lang/rust,158224,158224,7.8435,False,
ws8_q011,"In kubernetes/kubernetes, someone reported: ""Kubelet emits transient `object ""<ns>""/""<name>"" not registered` (FailedMount) on cold start"" What was this eventually traced to, and what resolved it?",kubernetes__kubernetes__140037.md,1,hop1,kubernetes/kubernetes,140037,140037,7.5558,False,
ws8_q012,"In kubernetes/kubernetes, someone reported: ""apiserver: return 4xx instead of 500 for invalid Binding target fields"" What was this eventually traced to, and what resolved it?",kubernetes__kubernetes__139488.md,1,hop1,kubernetes/kubernetes,139488,139488,3.8422,False,
ws8_q013,"In kubernetes/kubernetes, someone reported: ""CPUManager distribute-cpus-across-cores relies on CPU numbering order instead of topology"" What was this eventually traced to, and what resolved it?",kubernetes__kubernetes__140688.md,1,hop1,kubernetes/kubernetes,140688,140688,6.4572,False,
ws8_q014,"In rust-lang/rust, someone reported: ""`f128` on wasm does not support maximum intrinsic"" What was this eventually traced to, and what resolved it?",rust-lang__rust__158673.md,1,hop1,rust-lang/rust,158673,158673,4.7677,False,
ws8_q015,"In rust-lang/rust, someone reported: ""Safe custom `Pattern` can bind a valid `Searcher` to a different haystack, causing out-of-bounds reads"" What was this eventually traced to, and what resolved it?",rust-lang__rust__158265.md,1,hop1,rust-lang/rust,158265,158265,5.9976,False,
ws8_q016,"In kubernetes/kubernetes, someone reported: ""tainteviction controller does not durably retry pod deletion on denial"" What was this eventually traced to, and what resolved it?",kubernetes__kubernetes__140639.md,1,hop1,kubernetes/kubernetes,140639,140639,8.2489,False,
ws8_q017,"In rust-lang/rust, someone reported: ""Using rustc with an LLVM compiled with `-Os` results in SIGSEGVs/infinite loops"" What was this eventually traced to, and what resolved it?",rust-lang__rust__160393.md,1,hop1,rust-lang/rust,160393,160393,7.8435,False,
ws8_q018,"In rust-lang/rust, someone reported: ""Exponential compile time increase with generic_const_exprs and recursive trait bounds"" What was this eventually traced to, and what resolved it?",rust-lang__rust__159934.md,1,hop1,rust-lang/rust,159934,159934,5.8975,False,
ws8_q019,"In kubernetes/kubernetes, someone reported: ""Memory Manager pod-scope restore compares container blocks with the pod request"" What was this eventually traced to, and what resolved it?",kubernetes__kubernetes__141069.md,1,hop1,kubernetes/kubernetes,141069,141069,4.7832,False,
ws8_q020,"In rust-lang/rust, someone reported: ""Inline const errors are opt-level-dependent"" What was this eventually traced to, and what resolved it?",rust-lang__rust__160964.md,1,hop1,rust-lang/rust,160964,160964,4.4994,False,
ws8_q021,"In kubernetes/kubernetes, someone reported: ""[PodLevelResources] In-place pod resize events do not capture pod-level resources"" What was this eventually traced to, and what resolved it?",kubernetes__kubernetes__141606.md,1,hop1,kubernetes/kubernetes,141606,141606,5.3312,False,
ws8_q022,"In rust-lang/rust, someone reported: ""Building std for wasm32-wasip3 fails due to missing target_env = ""p3"" in library/std/src/os/mod.rs"" What was this eventually traced to, and what resolved it?",rust-lang__rust__161479.md,1,hop1,rust-lang/rust,161479,161479,6.234,False,
ws8_q023,"In rust-lang/rust, someone reported: ""rustfmt chokes on ""impl const Trait"" output by rustc --unpretty=expanded"" What was this eventually traced to, and what resolved it?",rust-lang__rust__158599.md,1,hop1,rust-lang/rust,158599,158599,7.5558,False,
ws8_q024,"In rust-lang/rust, someone reported: ""Several bugs stemming from use of `f32`/`float` for discarded vector outputs in x86-64 inline asm"" What was this eventually traced to, and what resolved it?",rust-lang__rust__159418.md,1,hop1,rust-lang/rust,159418,159418,7.5558,False,
ws8_q025,"In kubernetes/kubernetes, someone reported: ""kubectl patch: 'map does not contain declared merge key' error lacks actionable context"" What was this eventually traced to, and what resolved it?",kubernetes__kubernetes__141112.md,1,hop1,kubernetes/kubernetes,141112,141112,5.6099,False,
ws8_q026,"In kubernetes/kubernetes, someone reported: ""`networking.k8s.io/v1` `requests-per-second` `unable to fetch metrics from custom metrics API: no custom metrics API (custom.metrics.k8s.io) registered`"" What was this eventually traced to, and what resolved it?",kubernetes__kubernetes__140735.md,1,hop1,kubernetes/kubernetes,140735,140735,5.2785,False,
ws8_q027,"In rust-lang/rust, someone reported: ""[regression] Linker warnings when building Miri on macOS"" What was this eventually traced to, and what resolved it?",rust-lang__rust__161561.md,1,hop1,rust-lang/rust,161561,161561,3.8607,False,
ws8_q028,"In rust-lang/rust, someone reported: ""Tracking issue for release notes of #…: stabilize feature `float_algebraic`"" What was this eventually traced to, and what resolved it?",rust-lang__rust__157864.md,1,hop1,rust-lang/rust,157864,157864,6.9962,False,
ws8_q029,"In kubernetes/kubernetes, someone reported: ""[Flaking Test] load overall (/home/prow/go/src/k8s.io/perf-tests/clusterloader2/testing/load/config.yaml)"" What was this eventually traced to, and what resolved it?",kubernetes__kubernetes__139494.md,1,hop1,kubernetes/kubernetes,139494,139494,6.9962,False,
ws8_q030,"In rust-lang/rust, someone reported: ""[ICE]: `invalid immediate for given destination place: scalar value has wrong size`"" What was this eventually traced to, and what resolved it?",rust-lang__rust__161510.md,1,hop1,rust-lang/rust,161510,161510,5.3585,False,
ws8_q031,"In rust-lang/rust, someone reported: ""`Drop` impl of `UniqueArcUninit` is behind `cfg(not(no_global_oom_handling))`"" What was this eventually traced to, and what resolved it?",rust-lang__rust__159651.md;rust-lang__rust__159644.md,2,hop2,rust-lang/rust,159651,159644,6.8626,False,
ws8_q032,"In rust-lang/rust, someone reported: ""[ICE]: `Found unstable fingerprints for explicit_supertraits_containing_assoc_item`"" What was this eventually traced to, and what resolved it?",rust-lang__rust__158093.md;rust-lang__rust__157702.md,2,hop2,rust-lang/rust,158093,157702,6.9962,False,
ws8_q033,"In rust-lang/rust, someone reported: ""Tracking issue for release notes of #…: Stabilize `bool::toggle`"" What was this eventually traced to, and what resolved it?",rust-lang__rust__161462.md;rust-lang__rust__160299.md,2,hop2,rust-lang/rust,161462,160299,5.7232,False,
ws8_q034,"In rust-lang/rust, someone reported: ""Suggest `impl Fn()` in return type when trying to return a closure coerced to `fn()` pointer"" What was this eventually traced to, and what resolved it?",rust-lang__rust__159481.md;rust-lang__rust__159594.md,2,hop2,rust-lang/rust,159481,159594,6.1089,False,
ws8_q035,"In rust-lang/rust, someone reported: ""Tracking issue for release notes of #…: Enable `static_position_independent_executables` on all gnu and musl targets"" What was this eventually traced to, and what resolved it?",rust-lang__rust__158987.md;rust-lang__rust__158510.md,2,hop2,rust-lang/rust,158987,158510,6.3771,False,
ws8_q036,"In kubernetes/kubernetes, someone reported: ""High cardinality on apiserver_request_terminations_total metric"" What was this eventually traced to, and what resolved it?",kubernetes__kubernetes__141007.md;kubernetes__kubernetes__141092.md,2,hop2,kubernetes/kubernetes,141007,141092,7.5558,False,
ws8_q037,"In rust-lang/rust, someone reported: ""`Send` bound not inferred on RPIT due to nonsensical unsatisfied higher ranked bound"" What was this eventually traced to, and what resolved it?",rust-lang__rust__159708.md;rust-lang__rust__159575.md,2,hop2,rust-lang/rust,159708,159575,6.5442,False,
ws8_q038,"In kubernetes/kubernetes, someone reported: ""A pod using a Dynamic Resource Allocation claim got permanently stuck in CreateContainerError after its node rebooted, with no automatic recovery."" What was this eventually traced to, and what resolved it?",kubernetes__kubernetes__141433.md;kubernetes__kubernetes__141619.md,2,hop2,kubernetes/kubernetes,141433,141619,7.8435,False,
ws8_q039,"In rust-lang/rust, someone reported: ""std doesn't build for x86_64-wrs-vxworks: no pread/pwrite on the target"" What was this eventually traced to, and what resolved it?",rust-lang__rust__160043.md;rust-lang__rust__159991.md,2,hop2,rust-lang/rust,160043,159991,7.1503,False,
ws8_q040,"In kubernetes/kubernetes, someone reported: ""Consider a stronger explicit warning against re-encoding SignJWTRequest.claims (KEP-740 ExternalJWTSigner)"" What was this eventually traced to, and what resolved it?",kubernetes__kubernetes__141670.md;kubernetes__kubernetes__141669.md,2,hop2,kubernetes/kubernetes,141670,141669,7.8435,False,
ws8_q041,"In rust-lang/rust, someone reported: ""Regression 1.96.1 → 1.97.0: ""missing optimized MIR"" for pub fn glob-reexported alongside a restricted glob duplicate"" What was this eventually traced to, and what resolved it?",rust-lang__rust__159038.md;rust-lang__rust__157420.md,2,hop2,rust-lang/rust,159038,157420,7.1503,False,
ws8_q042,"In kubernetes/kubernetes, someone reported: ""Remove usage of helper functions from k8s.io/kubernetes/pkg/apis/core/v1/helper"" What was this eventually traced to, and what resolved it?",kubernetes__kubernetes__141407.md;kubernetes__kubernetes__141403.md,2,hop2,kubernetes/kubernetes,141407,141403,3.4867,False,
ws8_q043,"In rust-lang/rust, someone reported: ""Tracking issue for release notes of #…: Fix parser error recovery treating 'dyn' as a strict keyword in Rust …"" What was this eventually traced to, and what resolved it?",rust-lang__rust__157579.md;rust-lang__rust__157577.md,2,hop2,rust-lang/rust,157579,157577,5.0919,False,
ws8_q044,"In rust-lang/rust, someone reported: ""match guards with unreachable success blocks ignore fake borrows"" What was this eventually traced to, and what resolved it?",rust-lang__rust__161578.md;rust-lang__rust__160599.md,2,hop2,rust-lang/rust,161578,160599,5.0919,False,
ws8_q045,"In rust-lang/rust, someone reported: ""`x test` on profiles where testing is unsupported (or unmaintained?) could set better expectations"" What was this eventually traced to, and what resolved it?",rust-lang__rust__158385.md;rust-lang__rust__158219.md,2,hop2,rust-lang/rust,158385,158219,6.7448,False,
ws8_q046,"In kubernetes/kubernetes, someone reported: ""CEL map-list concatenation preserves duplicate new keys from the right operand"" What was this eventually traced to, and what resolved it?",kubernetes__kubernetes__140591.md;kubernetes__kubernetes__140592.md;kubernetes__kubernetes__140292.md,3,hop3plus,kubernetes/kubernetes,140591,140292,6.234,False,
ws8_q047,"In kubernetes/kubernetes, someone reported: ""No e2e coverage for readiness probes during graceful pod termination"" What was this eventually traced to, and what resolved it?",kubernetes__kubernetes__140978.md;kubernetes__kubernetes__140882.md;kubernetes__kubernetes__140900.md;kubernetes__kubernetes__140629.md;kubernetes__kubernetes__140249.md;kubernetes__kubernetes__140664.md,6,hop3plus,kubernetes/kubernetes,140978,140664,5.5081,False,
ws8_q048,"In rust-lang/rust, someone reported: ""performance regression with -Znext-solver=globally"" What was this eventually traced to, and what resolved it?",rust-lang__rust__159933.md;rust-lang__rust__160005.md;rust-lang__rust__159974.md,3,hop3plus,rust-lang/rust,159933,159974,4.0517,False,
ws8_q049,"In kubernetes/kubernetes, someone reported: ""APIserver: track API LIST request path microbenchmarks"" What was this eventually traced to, and what resolved it?",kubernetes__kubernetes__141310.md;kubernetes__kubernetes__139770.md;kubernetes__kubernetes__139605.md,3,hop3plus,kubernetes/kubernetes,141310,139605,7.8435,False,
ws8_q050,"In rust-lang/rust, someone reported: ""1.99 beta crater regression: expected item after attributes"" What was this eventually traced to, and what resolved it?",rust-lang__rust__161920.md;rust-lang__rust__161917.md;rust-lang__rust__158854.md,3,hop3plus,rust-lang/rust,161920,158854,4.138,False,
ws8_q051,"In kubernetes/kubernetes, someone reported: ""test/images/agnhost/Dockerfile lacks a fallback when golang:$GOLANG_VERSION tag isn't published yet"" What was this eventually traced to, and what resolved it?",kubernetes__kubernetes__141396.md;kubernetes__kubernetes__141537.md;kubernetes__kubernetes__141562.md;kubernetes__kubernetes__141042.md;kubernetes__kubernetes__139789.md,5,hop3plus,kubernetes/kubernetes,141396,139789,7.5558,False,
ws8_q052,"In kubernetes/kubernetes, someone reported: ""[Flaking][sig-node] k8s.io/kubernetes/test/integration/dra.all"" What was this eventually traced to, and what resolved it?",kubernetes__kubernetes__141072.md;kubernetes__kubernetes__141060.md;kubernetes__kubernetes__141059.md,3,hop3plus,kubernetes/kubernetes,141072,141059,4.2881,False,
ws8_q053,"In kubernetes/kubernetes, someone reported: ""DRA: CapacityRequestPolicy validValues rejects distinct fractional values as duplicates"" What was this eventually traced to, and what resolved it?",kubernetes__kubernetes__140457.md;kubernetes__kubernetes__140161.md;kubernetes__kubernetes__140636.md;kubernetes__kubernetes__140674.md;kubernetes__kubernetes__140459.md;kubernetes__kubernetes__141170.md,6,hop3plus,kubernetes/kubernetes,140457,141170,7.5558,False,
