row,subset,question,golds,answer_presence_at_10_gt,answer_presence_at_100_gt
14,main,who does the voice of nala in the lion king,"[""Niketa Calame"", ""Sally Dworsky"", ""Moira Kelly"", ""Laura Williams""]",True,True
19,main,what age do you need to be to buy a bb gun,"[""18""]",True,True
30,main,when was the first hunger games book published,"[""September 14, 2008"", ""2008""]",True,True
45,main,what are the colors of the netherlands flag,"[""blue"", ""white"", ""red""]",True,True
60,main,what's the dog's name on tom and jerry,"[""Spike""]",True,True
66,main,when did they stop cigarette advertising on television,"[""January 2, 1971"", ""1970""]",True,True
71,main,how many games in a row have the uconn women's basketball team won,"[""111 straight wins"", ""111"", ""90""]",True,True
82,main,how many seasons of the rugrats are there,"[""9 seasons"", ""9""]",True,True
92,main,describe the three phases of the normal blood clotting process,"[""blood coagulation"", ""vasoconstriction,""]",True,True
105,main,where does the last name galvez come from,"[""Spanish surname"", ""Spanish""]",True,True
108,main,the chinese dragons are protectors of how many seas diggy,"[""Four Seas"", ""Four""]",True,True
115,main,who was the famous scientist that ran the research lab moseley went to in manchester,"[""Sir Ernest Rutherford""]",True,True
125,main,how many seasons of rules of engagement is there,"[""7"", ""seven""]",True,True
129,main,who is currently serving as president of the senate,"[""Orrin Hatch"", ""Patrick Leahy""]",False,True
132,main,how many gold medals did australia win in the 2000 olympics,"[""16""]",True,True
151,main,who did america declare war on in ww1,"[""Austria-Hungary""]",False,True
153,main,what was tom hanks character name in castaway,"[""Chuck Noland""]",False,True
180,main,who is the king and queen of the netherlands,"[""Queen M\u00e1xima of the Netherlands"", ""King Willem-Alexander""]",False,True
188,main,what proposition made the insurance commissioner an elected position,"[""Proposition 103"", ""Proposition 103 in 1988""]",True,True
206,main,when does the miz and maryse show start,"[""2018""]",True,True
217,main,who has the most gold medals in the winter olympics of all time,"[""Norway""]",True,True
233,main,who developed the central processing unit (cpu),"[""John von Neumann""]",False,True
235,main,what is katie running from in safe haven,"[""her abusive husband""]",False,True
249,main,which country is the last member of saarc,"[""Afghanistan""]",True,True
261,main,who played the colorado kid in rio bravo,"[""Ricky Nelson""]",True,True
264,main,who was the viceroy when the simon commission visited india,"[""Lord Irwin""]",True,True
268,main,when did the us not go to the olympics,"[""The 1980 Summer Olympics"", ""1980""]",True,True
279,main,who owns the crown plaza hotel in chicago illinois,"[""InterContinental Hotels Group""]",True,True
286,main,who did us fight in world war 1,"[""Germany"", ""Austria-Hungary""]",True,True
287,main,when was rosencrantz and guildenstern are dead written,"[""1966""]",True,True
290,main,how many breeds of pigs are there in the uk,"[""---""]",True,True
291,main,where did the battle of corinth take place,"[""in Corinth, Mississippi"", ""Corinth, Mississippi""]",True,True
295,main,what are the 4 types of nitrogenous bases,"[""cytosine (C)"", ""adenine (A)"", ""uracil (U)"", ""thymine (T)"", ""guanine (G)""]",True,True
296,main,where are alkali metals located on the periodic table,"[""in the s-block"", ""group 1""]",True,True
