qid,arm,input_tokens,output_tokens,cache_creation_input_tokens,cache_read_input_tokens,turns,hit_turn_cap,stop_reason,error,wall_clock_s,started_at,answer,any_file_hit,all_files_hit,symbol_hit,matched_files,judge_correct,judge_reason,cost_total_billed,cost_agent_billed,cost_judge_billed,cost_uncached_list,in_stuffed_prefix,difficulty,scaling_subset,size_point,corpus,corpus_tokens,corpus_files
agentic_hil_q02,indexed,13628,904,0,0,2,False,end_turn,,13.22,2026-09-15T19:53:07Z,"## Answer

Agentic HIL reads a symbol's address and size directly out of an ELF file — with no debugger attached — in `src/agentic_hil/elfsymbols.py`, via the function `_read_symbol` (exposed publicly as `read_elf_symbol`).

This function (`src/agentic_hil/elfsymbols.py:104-147`) hand-parses the ELF binary format itself (checking the `\x7fELF` magic, ELF class/byte order, walking the section headers to find `SHT_SYMTAB`, then iterating symbol table entries) to locate a symbol by name and pull its `st_value` (address) and `st_size` (size) fields — no `pyelftools`, no debugger, no external tool.

Two call sites use this pure-ELF path instead of a live debugger:

1. **`resolve_symbol_offline`** in `src/agentic_hil/backends/gdbdebug.py:1541` — used by the sessionless ST-Link (`src/agentic_hil/backends/stlink.py`) and pyOCD (`src/agentic_hil/backends/pyocd.py`) backends, which have no attached debug session at all. It spawns GDB in batch mode against a staged copy of the ELF to try the debug-info expression evaluator first, and when that fails (e.g. for assembly-defined symbols like a vector table with no DWARF type info), it falls back to `read_elf_symbol(staged_elf, symbol)` (`gdbdebug.py:1636`) to get the address/size straight from the symbol table.

2. **`GdbDebugSession._resolve_symbol`** in `src/agentic_hil/backends/gdbdebug.py:1016-1067` — even when a GDB session *is* active, if the typed expression lookup (`&symbol`/`sizeof(symbol)`) fails, it falls back to `read_elf_symbol(str(session.artifact[""resolved_path""]), symbol)` (`gdbdebug.py:1063`) to pull `st_value`/`st_size` from the ELF's symbol table directly rather than asking the live debugger.

So the core ""no debugger, straight from the ELF"" logic lives in `elfsymbols.py`'s `_read_symbol`/`read_elf_symbol`, and it's invoked as a fallback/offline path from `gdbdebug.py`.",True,True,True,src/agentic_hil/elfsymbols.py,True,"The answer identifies src/agentic_hil/elfsymbols.py and read_elf_symbol as the location parsing ELF symbol table for address/size without a debugger, matching expectations with accurate extra detail.",0.045636,0.036296,0.00934,0.036296,,locate,true,S,agentic_hil,1139248,49
agentic_hil_q01,agentic,8072,167,0,0,2,False,end_turn,,3.871,2026-09-15T19:53:24Z,"The OpenOCD backend is implemented in `src/agentic_hil/backends/openocd.py`, which exposes the `OpenOCDBackend` class (re-exported in `src/agentic_hil/backends/__init__.py`).",True,True,True,src/agentic_hil/backends/openocd.py,True,"The answer names the expected file src/agentic_hil/backends/openocd.py and the expected class OpenOCDBackend, with accurate extra detail about re-export.",0.023149,0.017814,0.005335,0.017814,,locate,false,S,agentic_hil,1139248,49
agentic_hil_q01,indexed,8668,311,0,0,2,False,end_turn,,5.633,2026-09-15T19:53:30Z,"The OpenOCD debugger backend is implemented in `src/agentic_hil/backends/openocd.py`, which exposes the `OpenOCDBackend` class (see `src/agentic_hil/backends/openocd.py:184`).

This class is instantiated via `create_debugger_backend()` in `src/agentic_hil/debugger.py` when `config.debugger.type == ""openocd""`. It uses `backend_name = ""openocd""`, wraps a `GdbDebugSessions` instance for session management, and implements methods such as `reconfigure`, `target_support`, `classify_last_error`, `close`, and `_debug_server_args` to drive the OpenOCD tool (invoking it with interface/target config scripts, GDB port setup, etc.).",True,True,True,src/agentic_hil/backends/openocd.py,True,"The answer names the expected file src/agentic_hil/backends/openocd.py and the expected class OpenOCDBackend, with accurate supporting detail.",0.026576,0.020446,0.00613,0.020446,,locate,false,S,agentic_hil,1139248,49
agentic_hil_q02,agentic,9532,345,0,0,2,False,end_turn,,5.388,2026-09-15T19:53:39Z,"The core logic lives in `src/agentic_hil/elfsymbols.py`, which parses the ELF's own section and symbol tables (reading `st_value`/`st_size` directly from the binary's symbol-table bytes) rather than going through a debugger. This is used by `src/agentic_hil/backends/gdbdebug.py` (e.g. `resolve_symbol_from_elf_only`/`OfflineSymbolResolver`-style helpers around lines 1542–1654) to resolve a symbol's address and size purely from the flashed ELF file when no debugger session is attached, backing the offline ""elf_symbol_table"" resolution path referenced in `backends/pyocd.py` and `backends/stlink.py`.",True,True,False,src/agentic_hil/elfsymbols.py,True,The answer names the expected file src/agentic_hil/elfsymbols.py and correctly describes reading st_value/st_size from the ELF symbol table without a debugger; extra unverified details don't negate the correct primary location.,0.029224,0.022514,0.00671,0.022514,,locate,true,S,agentic_hil,1139248,49
agentic_hil_q02,indexed_topk3,20353,713,0,0,4,False,end_turn,,13.366,2026-09-15T19:53:48Z,"The reading happens in `src/agentic_hil/elfsymbols.py`, in the `read_elf_symbol()` function and its helper `_read_symbol()`. This module hand-parses the raw ELF file bytes (ELF header, section headers, and the `SHT_SYMTAB` symbol table) to extract a symbol's `st_value` (address) and `st_size`, entirely independent of any debugger — it uses no `pyelftools`/GDB, just `struct`-based parsing of the file on disk.

It's invoked as a fallback in `src/agentic_hil/backends/gdbdebug.py` (`GdbDebugBackend._resolve_symbol`, around lines 1016–1067, and again around lines 1619–1646) when GDB's expression evaluator can't resolve a symbol's address/size from debug info (e.g., assembler-defined symbols with no DWARF type info, such as a vector table). In those cases the code reads the staged/flashed ELF file directly via `read_elf_symbol(...)` rather than asking the attached debugger.",True,True,True,src/agentic_hil/elfsymbols.py,True,"The answer names the expected file src/agentic_hil/elfsymbols.py and the primary symbol read_elf_symbol, correctly describing raw ELF parsing of st_value and st_size without a debugger.",0.055001,0.047836,0.007165,0.047836,,locate,true,S,agentic_hil,1139248,49
agentic_hil_q01,indexed_topk3,3817,129,0,0,2,False,end_turn,,3.104,2026-09-15T19:54:04Z,"The OpenOCD debugger backend is implemented in `src/agentic_hil/backends/openocd.py`, which exposes the `OpenOCDBackend` class (with `backend_name = ""openocd""`).",True,True,True,src/agentic_hil/backends/openocd.py,True,"The answer names the expected file src/agentic_hil/backends/openocd.py and the expected class OpenOCDBackend, matching the question's requested location and symbol.",0.014219,0.008924,0.005295,0.008924,,locate,false,S,agentic_hil,1139248,49
agentic_hil_q25,indexed,16144,1346,0,0,2,False,end_turn,,18.525,2026-09-15T19:57:42Z,"## How a report proves its audit log wasn't tampered with

The proof mechanism lives in `src/agentic_hil/report.py`, centered on a **hash-chained canonical ledger** kept separate from the workspace log the agent actually reads.

### The two copies

Every audit-logged event is written to two places (`append_jsonl` / `append_canonical_audit_log` in `report.py`):

1. **Canonical copy** — under the trusted `state_root`, in `audit_logs_directory()`, written *first*. Alongside it sits a `.digest` sidecar file (`_canonical_sidecar_path`) holding `sequence`, `chain_sha256`, and `bytes`.
2. **Workspace mirror** — the log path the agent/operator can actually see, written only after the canonical write succeeds.

The canonical write is never skipped or made best-effort: if it fails, the whole operation reports an audit error (`append_jsonl` returns the canonical error before even attempting the workspace write).

### The hash chain

`append_canonical_audit_log` extends the chain like a blockchain:

```python
chain = hashlib.sha256((str(sidecar[""chain_sha256""]) + text).encode(""utf-8"")).hexdigest()
```

Each new line's digest folds in the previous chain digest, so altering or deleting any earlier line changes every digest computed after it. It also sanity-checks that the canonical file's actual byte size matches what the sidecar recorded before appending — a fail-closed guard against a chain that was ever mutated out-of-band (`ConfigError(""coordination_state_invalid"", ...)` if sizes disagree).

`write_audit_log` does the same for full-file rewrites (e.g., a GDB session snapshot), hashing the whole content into `chain_sha256`.

### What the report carries back

`canonical_audit_evidence()` builds the proof attached to a report:

- `canonical_log_present`
- `canonical_log_name` (basename only — the absolute path under `state_root` is never exposed)
- `log_sequence`
- `log_chain_sha256`
- `workspace_log_verified` — computed by `_is_ordered_subsequence(canonical_lines, workspace_lines)`, checking that every line in the trusted canonical log still appears, in order, in the workspace mirror the agent is reading. Extra passive lines (e.g., COM RX feedback) in the workspace copy are tolerated, but deletion or alteration of any canonical effect record fails this check.

`attach_canonical_audit_evidence()` is the caller-facing entry point: it resolves the report's `log_path`, computes this evidence, and merges it into the result as a `canonical_audit` field — so any report referencing a log carries the sequence number, the chain digest, and an explicit verified/not-verified verdict rather than the agent having to trust the mirror file blindly.

If the canonical anchor itself is missing or corrupted, that's reported distinctly (`canonical_log_corrupted: True`) rather than being conflated with ""no log at all,"" so corruption of the trust anchor can't masquerade as benign absence.

### Backpressure into the report itself

Separately, `mark_audit_failure` (used throughout `can.py`, `comports.py`, `backends/gdbdebug.py`, `backends/pyocd.py`, `backends/openocd.py`) propagates any audit-write error into the result the agent reads (e.g. `audit_ok: false`, `cleanup_required: true`), so a broken audit trail is surfaced in-band on the very report describing the action, not just discoverable later via a side channel.",True,False,True,src/agentic_hil/report.py,True,Identifies the hash-chained canonical log with sidecar digest and the canonical_audit_evidence/attach_canonical_audit_evidence/append_canonical_audit_log symbols and their behaviour; only minor file attribution imprecision.,0.062248,0.045748,0.0165,0.045748,,multi_hop,false,S,agentic_hil,1139248,49
agentic_hil_q35,agentic,34707,1273,0,0,6,False,end_turn,,19.036,2026-09-15T19:58:05Z,"## Behavior

`BenchMutex.acquire` (in `src/agentic_hil/bench.py`) is **all-or-nothing**: it iterates the requested resources in sorted order, calling the private `_take` helper for each one, and if any single device turns out to be busy (held by another owner, or held-but-not-yet-timed-out), it aborts and gives back everything it had already grabbed for this call.

Concretely:

1. `acquire` loops over `wanted = physical_resources(resources)` and calls `self._take(resource, deadline, stop_requested)` for each, accumulating successfully-taken resources in `taken`.
2. `_take` tries to grab the resource's `_LifetimeLock` file. If the OS lock can't be acquired (`BlockingIOError`/`OSError`), it either:
   - waits and retries until `deadline` (derived from `wait_s`), polling on `stop_requested` so a cooperative stop raises `DeviceWaitStoppedError` immediately, or
   - once the deadline passes, calls `self.busy_result(resource, waited_s=...)` (which reads the other holder's recorded owner/pid/heartbeat info) and raises `DeviceBusyError(result)`.
3. Back in `acquire`, that exception propagates out of the `for` loop inside a `try/except BaseException` block. The `except` clause walks `taken` **in reverse** and calls `self._drop(resource)` on each already-acquired device, releasing them, before re-raising the original exception.

So if you ask for several devices and one is already held by someone else, `acquire` releases every device it had managed to lock so far in that same call and raises `DeviceBusyError` naming the busy resource and its holder — it never leaves the caller holding a partial subset of the requested set. This ""all-or-nothing"" guarantee is documented directly in the class/method docstrings (`BenchMutex` class docstring and `acquire`'s docstring, lines 328–336 and 369–382 of `src/agentic_hil/bench.py`).

Related note: `devices.py`'s `Devices.acquire` (src/agentic_hil/devices.py:570) relies on exactly this behavior — it deliberately puts the whole device set into one `BenchMutex.acquire` call so a partial/overlapping acquisition across owners can't happen.",True,True,True,src/agentic_hil/bench.py,True,"Answer correctly identifies bench.py's BenchMutex.acquire, _take, rollback of already-taken locks, and DeviceBusyError with wait/deadline handling — matching expected all-or-nothing behaviour.",0.093134,0.082144,0.01099,0.082144,,trace,true,S,agentic_hil,1139248,49
agentic_hil_q39,indexed,146090,4151,0,0,5,False,end_turn,,49.515,2026-09-15T19:58:44Z,"## The path from plan to a GDB breakpoint

**1. The plan step itself**

A plan step names a symbol breakpoint either as `run_until_breakpoint` (with `location: <symbol>` or `{symbol: ...}`/`{function: ...}`) or as an equivalent `debug_set_breakpoint`-style step. `run_until_breakpoint` is special: it declares no single backend tool, and its own preflight contract check and execution are both handled by `DebuggerDevice` (`src/agentic_hil/test_reactor.py`).

**2. Preflight, before any hardware is touched**

`TestReactor._preflight_step` (`test_reactor.py`) resolves the device class for the step and runs, in order:
- `device_class.name_refusal` → for an unnamed debugger with several configured, `DebuggerDevice.unnamed_refusal` refuses rather than guessing which board; for a named-but-unbound one, `unbound_refusal`/`name_refusal` refuses.
- `_preflight_tool_contract` → validates the step's arguments against the MCP tool's own JSON-schema contract (`validate_tool_arguments`).
- `DebuggerDevice.preflight` (`test_reactor.py:2372+` region), which for a breakpoint step checks, before anything is opened:
  - the debugger's backend actually has a session at all — `_backend_debug_refusal` refuses if the debugger's `type` isn't one that opens a typed debug session (e.g. pyOCD/STM32CubeProgrammer are refused with `not_supported`, pointing at switching to `type: openocd`);
  - a debug session is active and it's the same debugger the step names (`state.debug_session`);
  - `allow_debug_execution` permission is granted (`run_until_breakpoint` always resumes via `debug_continue`, so this is checked unconditionally even before `debug_set_breakpoint` runs);
  - the symbol is extracted via `breakpoint_symbol(step.arguments.get(""location""))`, and:
    - if there's no symbol at all (a file/line breakpoint) and `debug.allow_all_symbols` is false → refused;
    - if there is a symbol and `symbol_allowed(config, symbol)` is false (not in `debug.allowed_symbols` and `allow_all_symbols` not set) → refused (`preflight_error`).

Only after all of this does the reactor let the step run.

**3. Reactor execution**

`DebuggerDevice._run_until_breakpoint_step` calls `self._run_until_breakpoint(step.arguments)`, which:
1. `self.service.call(""debug_set_breakpoint"", {""location"": arguments[""location""]})`
2. on success, `self.service.call(""debug_continue"", ...)`
3. always `self.service.call(""debug_clear_breakpoints"")` afterward, merging results and matching the stop's `breakpoint_id` against the one just set (`unexpected_stop` if it doesn't match).

**4. The service/tool layer**

`self.service.call` goes through `AgenticHILToolService` (`src/agentic_hil/tools.py`), which manages the debug session lease (quarantining on unconfirmed cleanup, etc.) before/after dispatching to the backend.

**5. The GDB backend itself — `GdbDebugBackend.set_breakpoint` (`src/agentic_hil/backends/gdbdebug.py`)**

This is where the actual `-break-insert` is issued, and it re-checks everything independently of preflight (because the tool can also be called directly, not just via a plan):
- `_require_session` → refuses if there is no live session.
- `normalize_breakpoint_location` → turns a string or `{symbol|function}`/`{file,line}` dict into a normalized location; a symbol must match `DEBUG_SYMBOL_PATTERN` (a C/C++-identifier regex, with optional `::` scoping) or it's `invalid_argument`.
- If it's a symbol: `_validate_symbol` re-checks the identifier pattern and the `debug.allowed_symbols`/`allow_all_symbols` allowlist → `permission_denied` if not allowed.
- If it's a file/line location and `debug.allow_all_symbols` is false → refused with `permission_denied`.
- Only then: `self._gdb_command(session, f""-break-insert {mi_string(normalized['gdb_location'])}"")` — the actual GDB/MI insert.
- The response is then checked:
  - success with a parsable numeric `number=` → breakpoint recorded, session log written; but if the audit log couldn't be persisted (`self._audit_broken`), the call still fails with `audit_broken` (`cleanup_required`, `quarantined`) even though the breakpoint is live on the target.
  - a lost ack / timeout / unparsable id → the breakpoint may still exist on the target, so it's recorded as `provisional`, and the call fails with `cleanup_required` and `side_effect_status: unknown` until reconciliation proves it gone.
  - an outright GDB failure → `_gdb_failure`.

## What can refuse it, end to end

- **Preflight (`test_reactor.py`, `DebuggerDevice`)**: unnamed/unknown/unbound debugger; wrong backend type (no typed debug session at all, e.g. pyOCD/STM32CubeProgrammer — `_backend_debug_refusal`); no active session, or session belongs to a different debugger; `allow_debug_execution` not granted; symbol missing and `debug.allow_all_symbols` false; symbol present but not in `debug.allowed_symbols` (`symbol_allowed`).
- **Backend (`gdbdebug.py`, `GdbDebugBackend.set_breakpoint`)**: no session (`_require_session`); malformed location/symbol (fails `DEBUG_SYMBOL_PATTERN` or the file/line pattern); symbol not in `debug.allowed_symbols`; file/line breakpoint without `debug.allow_all_symbols`; audit-log persistence broken (`audit_broken`); GDB command timeout/lost ack (`provisional`/`cleanup_required`); GDB itself rejecting the insert (`_gdb_failure`).
- **After insertion, in `_run_until_breakpoint`**: `debug_continue` failing, `debug_clear_breakpoints` failing to reconcile against GDB's own `-break-list`, or the target stopping somewhere other than the expected breakpoint (`unexpected_stop`).",True,True,True,src/agentic_hil/test_reactor.py;src/agentic_hil/backends/gdbdebug.py,True,"The answer traces the plan step through test_reactor.py preflight (breakpoint_symbol, symbol_allowed) into gdbdebug.py set_breakpoint/normalize_breakpoint_location, naming the expected files, symbols, and refusal points.",0.352745,0.33369,0.019055,0.33369,,multi_hop,false,S,agentic_hil,1139248,49
agentic_hil_q37,agentic,5776,881,0,0,3,False,end_turn,,10.664,2026-09-15T19:59:36Z,"## `decode_symbol_value` behavior for non-standard widths

When `len(data)` is not one of the widths in `INTEGER_VALUE_WIDTHS` (1, 2, 4, or 8 bytes), the function does **not** attempt any numeric decoding. Instead it sets:

```python
result[""value_not_decoded""] = ""size_bytes is not 1, 2, 4 or 8, so the bytes carry no single integer reading.""
```

It still always includes `hex` (the raw bytes in memory order, `data.hex()`) and the `order` info, but skips `value_unsigned`/`value_signed`. This is deliberate per the docstring: a size like 3 or 408 bytes ""is not a number,"" so inventing an integer interpretation would be inventing an answer rather than reporting one.

Source: `src/agentic_hil/backends/gdbdebug.py`, function `decode_symbol_value` (lines 1733–1756).

## Where the byte order comes from

The `order` argument (containing `byte_order`) is produced by `image_byte_order(elf_path)` (same file, lines 1709–1730), not chosen inside `decode_symbol_value` itself. `image_byte_order`:

1. Calls `read_elf_byte_order(elf_path)` to read the ELF header's `EI_DATA` field.
2. If the ELF declares an order, returns `{""byte_order"": declared, ""byte_order_from"": ""elf_header""}`.
3. If it can't determine one (e.g., a stub/truncated file), falls back to `{""byte_order"": DEFAULT_SYMBOL_VALUE_BYTE_ORDER, ""byte_order_from"": ""default""}`.

So `decode_symbol_value` just reads `order[""byte_order""]` (line 1749) and uses it for `int.from_bytes(...)`, unchanged and passed through into the result — it doesn't independently decide the byte order; that decision is made upstream by `image_byte_order`/`read_elf_byte_order`, based on the target ELF's declared endianness (or a documented default when the ELF doesn't declare one).",True,False,True,src/agentic_hil/backends/gdbdebug.py,True,"The answer correctly identifies decode_symbol_value in gdbdebug.py skipping integer decoding (marking value_not_decoded, keeping hex) for non-1/2/4/8 widths, and byte order from image_byte_order/read_elf_byte_order ELF header with default fallback.",0.030267,0.020362,0.009905,0.020362,,trace,false,S,agentic_hil,1139248,49
