qid,question,golds,answer,judge_reason,label,auditor
71,how many games in a row have the uconn women's basketball team won,"[""111 straight wins"", ""111"", ""90""]",126,"The candidate states 126 consecutive wins, which does not match any accepted gold answer (111 or 90).",,
125,how many seasons of rules of engagement is there,"[""7"", ""seven""]",6,"The candidate states 6 seasons, which contradicts the gold answer of 7 seasons.",,
129,who is currently serving as president of the senate,"[""Orrin Hatch"", ""Patrick Leahy""]",Patty Murray,"The candidate names Patty Murray, which does not match either accepted gold answer (Orrin Hatch or Patrick Leahy).",,
151,who did america declare war on in ww1,"[""Austria-Hungary""]",Germany (the German Empire),"The only accepted gold answer is Austria-Hungary; the candidate names Germany instead, which does not match the listed answer.",,
217,who has the most gold medals in the winter olympics of all time,"[""Norway""]","Bjørn Dæhlie, with 8 gold medals.","The gold answer is the nation Norway; the candidate instead names an individual athlete, stating a different fact.",,
350,what album is sacrifice by elton john on,"[""Sleeping with the Past."", ""Sleeping with the Past""]",Two Rooms: Celebrating the Songs of Elton John & Bernie Taupin,"The candidate names a tribute compilation album rather than ""Sleeping with the Past,"" the album containing Elton John's ""Sacrifice.""",,
400,when did the bill of rights come out,"[""1689"", ""16 December 1689""]","December 15, 1791","The candidate gives the U.S. Bill of Rights ratification date (1791), not the 1689 English Bill of Rights date specified in the gold answers.",,
453,where is the left anterior descending artery located,"[""the left coronary artery""]",The left anterior descending artery follows the anterior interventricular sulcus around the pulmonary trunk.,"The candidate describes the artery's course in the anterior interventricular sulcus but never states that it arises from/belongs to the left coronary artery, the required fact.",,
488,who has been appointed as the election commissioner of india,"[""Om Prakash Rawat""]",Anup Chandra Pandey and Arun Goel,"The candidate names Anup Chandra Pandey and Arun Goel, not the gold answer Om Prakash Rawat, so it states a different fact.",,
496,when was the last time michigan won the championship,"[""1989""]",Michigan last won the Big Ten championship in 2004 before their 2021 title.,"The gold answer is 1989 (NCAA basketball championship); the candidate cites 2004/2021 Big Ten titles, a different fact.",,
559,sweet leavened bread prepared for easter in romania,"[""Kozunak"", ""Cozonac""]",pască,"Pască is a different Romanian Easter dish (a cheese-filled Easter cake), not the sweet leavened bread cozonac/kozunak named in the gold answers.",,
614,who plays the mouse in alice in wonderland,"[""Barbara Windsor""]",Nathan Lane,"Nathan Lane does not match the gold answer Barbara Windsor, who voiced the Dormouse in Alice in Wonderland.",,
644,where was the flag placed on the moon,"[""Hadley\u2013Apennine"", ""Sea of Tranquility"", ""Fra Mauro formation"", ""Descartes Highlands"", ""Ocean of Storms"", ""Taurus\u2013Littrow""]",About 27 feet (per Aldrin's account) from the centerline of the Eagle landing craft.,"The candidate gives a distance from the lunar module rather than naming a lunar location like the Sea of Tranquility, so it fails to match any gold answer.",,
697,legislation regarding data protection and security in uk,"[""The Data Protection Act 1998"", ""Data Protection Act 1998""]",The Data Protection Act 2018,"The candidate names the Data Protection Act 2018, a different statute from the gold answer's Data Protection Act 1998.",,
715,when did they stop saying mass in latin,"[""from 1967 onwards"", ""1967""]",Latin Mass was largely replaced when Pope Paul VI promulgated the Novus Ordo Mass in 1969.,"The candidate gives 1969 (Novus Ordo promulgation) rather than the accepted 1967 date, stating a different fact.",,
726,where do the phaeacians live in the odyssey,"[""Scheria""]",The Phaeacians live on the island of Kerkyra (Corfu).,"The Odyssey names their homeland Scheria; the candidate instead gives the modern island Corfu/Kerkyra, a later speculative identification, not the gold answer.",,
845,who wrote the first declaration of human rights,"[""Cyrus""]",John Peters Humphrey,"The gold answer credits Cyrus (the Cyrus Cylinder), whereas the candidate names John Peters Humphrey, drafter of the 1948 UDHR—a different fact.",,
868,who plays the beast on the new beauty and the beast,"[""Dan Stevens""]",Josh Groban,"The candidate names Josh Groban, not Dan Stevens, who played the Beast in the 2017 Beauty and the Beast film.",,
891,where does puerto rico's power come from,"[""Puerto Rico Electric Power Authority""]",Puerto Rico's electricity comes primarily from oil and natural gas fired power plants.,"The gold answer identifies the Puerto Rico Electric Power Authority as the source; the candidate instead names fuel types, stating a different fact.",,
896,when was the first ford f 150 made,"[""1975""]",1948,"1948 is when the first Ford F-Series truck appeared, not the F-150, which debuted in 1975 as required by the gold answer.",,
901,what's the largest city park in the united states,"[""Franklin Mountains State Park""]",Jacksonville's park system,"The candidate names Jacksonville's park system rather than Franklin Mountains State Park, stating a different and vague fact.",,
907,panic at the disco song about a wedding,"[""I Write Sins Not Tragedies""]","""Hallelujah""","The candidate names ""Hallelujah,"" not the gold answer ""I Write Sins Not Tragedies,"" which is the Panic! at the Disco song set at a wedding.",,
944,which is the fastest train in india and what is its speed,"[""Gatiman"", ""160km/hour"", ""Mumbai Rajdhani Express""]",The fastest train in India is the **Vande Bharat Express**.,"The candidate names Vande Bharat Express, which does not match any gold answer (Gatimaan Express, Mumbai Rajdhani), and gives no speed figure.",,
966,which philosopher advocated the idea of return to nature,"[""Bacon""]",Jean-Jacques Rousseau,"The gold answer identifies Bacon, while the candidate names Rousseau, a different philosopher, so it states a different fact.",,
1001,who was the last nba player to get drafted out of high school,"[""Thon Maker""]","Based on the passages, the last players drafted directly from high school were part of the 2005 draft class (before the ""one year out of high school"" rule began with the 2006 draft), but the passages don't name a specific individual as ""the last.""

I don't know","The candidate declines to name a specific player and says it doesn't know, failing to state the gold answer Thon Maker.",,
1005,who is the new york state senate majority leader,"[""John J. Flanagan""]",Andrea Stewart-Cousins,"The candidate names Andrea Stewart-Cousins, which differs from the gold answer John J. Flanagan.",,
