qid,question,golds,answer,judge_reason,label,auditor,justification
71,how many games in a row have the uconn women's basketball team won,"[""111 straight wins"", ""111"", ""90""]",126,"The candidate states 126 consecutive wins, which does not match any accepted gold answer (111 or 90).",model_error,"claude-opus-5 (in-session, 2026-09-11); PROVISIONAL, human spot-check pending",natural reading is the 111-game overall streak; 126 is a different streak
125,how many seasons of rules of engagement is there,"[""7"", ""seven""]",6,"The candidate states 6 seasons, which contradicts the gold answer of 7 seasons.",model_error,"claude-opus-5 (in-session, 2026-09-11); PROVISIONAL, human spot-check pending",Rules of Engagement ran 7 seasons; answer says 6
129,who is currently serving as president of the senate,"[""Orrin Hatch"", ""Patrick Leahy""]",Patty Murray,"The candidate names Patty Murray, which does not match either accepted gold answer (Orrin Hatch or Patrick Leahy).",stale_gold,"claude-opus-5 (in-session, 2026-09-11); PROVISIONAL, human spot-check pending",Patty Murray succeeded Hatch as Senate president pro tempore in 2023
151,who did america declare war on in ww1,"[""Austria-Hungary""]",Germany (the German Empire),"The only accepted gold answer is Austria-Hungary; the candidate names Germany instead, which does not match the listed answer.",ambiguous_question,"claude-opus-5 (in-session, 2026-09-11); PROVISIONAL, human spot-check pending",US declared war on both Germany (Apr 1917) and Austria-Hungary (Dec 1917); gold lists only one
217,who has the most gold medals in the winter olympics of all time,"[""Norway""]","Bjørn Dæhlie, with 8 gold medals.","The gold answer is the nation Norway; the candidate instead names an individual athlete, stating a different fact.",ambiguous_question,"claude-opus-5 (in-session, 2026-09-11); PROVISIONAL, human spot-check pending",'most gold medals' underdetermines nation (Norway) vs individual (Daehlie)
350,what album is sacrifice by elton john on,"[""Sleeping with the Past."", ""Sleeping with the Past""]",Two Rooms: Celebrating the Songs of Elton John & Bernie Taupin,"The candidate names a tribute compilation album rather than ""Sleeping with the Past,"" the album containing Elton John's ""Sacrifice.""",model_error,"claude-opus-5 (in-session, 2026-09-11); PROVISIONAL, human spot-check pending",Sacrifice is on Sleeping with the Past; Two Rooms is a tribute album
400,when did the bill of rights come out,"[""1689"", ""16 December 1689""]","December 15, 1791","The candidate gives the U.S. Bill of Rights ratification date (1791), not the 1689 English Bill of Rights date specified in the gold answers.",ambiguous_question,"claude-opus-5 (in-session, 2026-09-11); PROVISIONAL, human spot-check pending",English Bill of Rights 1689 vs US Bill of Rights 1791
453,where is the left anterior descending artery located,"[""the left coronary artery""]",The left anterior descending artery follows the anterior interventricular sulcus around the pulmonary trunk.,"The candidate describes the artery's course in the anterior interventricular sulcus but never states that it arises from/belongs to the left coronary artery, the required fact.",ambiguous_question,"claude-opus-5 (in-session, 2026-09-11); PROVISIONAL, human spot-check pending",'where located' admits origin (left coronary artery) or course (interventricular sulcus)
488,who has been appointed as the election commissioner of india,"[""Om Prakash Rawat""]",Anup Chandra Pandey and Arun Goel,"The candidate names Anup Chandra Pandey and Arun Goel, not the gold answer Om Prakash Rawat, so it states a different fact.",stale_gold,"claude-opus-5 (in-session, 2026-09-11); PROVISIONAL, human spot-check pending",Pandey (2021) and Goel (2022) succeeded Rawat as Indian election commissioner
496,when was the last time michigan won the championship,"[""1989""]",Michigan last won the Big Ten championship in 2004 before their 2021 title.,"The gold answer is 1989 (NCAA basketball championship); the candidate cites 2004/2021 Big Ten titles, a different fact.",ambiguous_question,"claude-opus-5 (in-session, 2026-09-11); PROVISIONAL, human spot-check pending",underdetermines sport and championship; gold is 1989 NCAA basketball
