qid,arm,subset,recall_at_10,answer_presence_at_10,presence_wb,idk,idk_corrected,judge_correct,gt_presence_old,gt_presence_wb,degenerate_golds,in_primary
13,mrl_512_sq8_np512,sanity,0.7,True,True,False,False,True,True,True,False,False
14,mrl_512_sq8_np512,main,0.8,True,True,False,False,True,True,True,False,True
19,mrl_512_sq8_np512,main,0.8,True,False,True,True,False,True,False,True,False
30,mrl_512_sq8_np512,main,0.9,True,True,False,False,True,True,True,False,True
45,mrl_512_sq8_np512,main,0.9,True,True,False,False,True,True,True,False,True
60,mrl_512_sq8_np512,main,0.8,True,True,False,False,True,True,True,False,True
66,mrl_512_sq8_np512,main,0.9,True,True,False,False,True,True,True,False,True
71,mrl_512_sq8_np512,main,0.8,True,True,False,False,False,True,True,False,True
82,mrl_512_sq8_np512,main,0.5,True,False,True,True,False,True,False,False,False
92,mrl_512_sq8_np512,main,0.6,True,True,True,True,False,True,True,False,True
105,mrl_512_sq8_np512,main,0.9,True,True,True,True,False,True,True,False,True
108,mrl_512_sq8_np512,main,0.8,True,True,False,False,True,True,True,False,True
115,mrl_512_sq8_np512,main,0.8,True,True,False,False,True,True,True,False,True
125,mrl_512_sq8_np512,main,1.0,True,False,False,False,False,True,False,False,False
129,mrl_512_sq8_np512,main,0.8,False,False,False,False,False,False,False,False,False
132,mrl_512_sq8_np512,main,0.9,True,False,False,False,True,True,False,True,False
146,mrl_512_sq8_np512,sanity,0.6,True,True,True,True,False,True,True,False,False
151,mrl_512_sq8_np512,main,1.0,False,False,False,False,False,False,False,False,False
153,mrl_512_sq8_np512,main,0.8,False,False,True,True,False,False,False,False,False
180,mrl_512_sq8_np512,main,0.8,True,True,False,False,True,False,False,False,False
188,mrl_512_sq8_np512,main,0.7,True,True,False,False,True,True,True,False,True
206,mrl_512_sq8_np512,main,0.4,True,True,True,True,False,True,True,False,True
217,mrl_512_sq8_np512,main,0.7,True,True,True,True,False,True,True,False,True
233,mrl_512_sq8_np512,main,0.8,False,False,True,True,False,False,False,False,False
235,mrl_512_sq8_np512,main,0.8,True,True,False,False,True,False,False,False,False
249,mrl_512_sq8_np512,main,0.7,True,True,False,False,True,True,True,False,True
261,mrl_512_sq8_np512,main,0.8,True,True,False,False,True,True,True,False,True
264,mrl_512_sq8_np512,main,0.9,True,True,False,False,True,True,True,False,True
268,mrl_512_sq8_np512,main,0.5,True,True,False,False,True,True,True,False,True
279,mrl_512_sq8_np512,main,0.7,False,False,True,True,False,True,True,False,True
286,mrl_512_sq8_np512,main,0.9,True,True,False,False,True,True,True,False,True
287,mrl_512_sq8_np512,main,0.9,True,True,False,False,True,True,True,False,True
290,mrl_512_sq8_np512,main,0.7,True,False,True,True,False,True,False,True,False
291,mrl_512_sq8_np512,main,0.8,True,False,False,False,True,True,False,False,False
295,mrl_512_sq8_np512,main,0.6,True,False,False,False,True,True,False,False,False
296,mrl_512_sq8_np512,main,0.7,True,True,False,False,True,True,True,False,True
307,mrl_512_sq8_np512,main,0.7,True,True,False,False,True,True,True,False,True
318,mrl_512_sq8_np512,main,0.7,True,True,False,False,True,True,True,False,True
319,mrl_512_sq8_np512,main,0.9,True,False,True,True,False,True,False,False,False
323,mrl_512_sq8_np512,sanity,0.6,False,False,True,True,False,False,False,False,False
