row_b,question,gold_answer,dropped_by_f4
7546931,"In 1996, John McCain was chosen to deliver the nominating speech for which presidential candidate at the Republican National Convention?",Bob Dole,True
4146905,"According to the passage, at what event in Chicago did Henry McNeal Turner deliver the address 'The African as a Tradesman and Mechanic'?",the African Congress at the World's Fair in Chicago,False
6950355,"In the Achille Lauro hijacking, which U.S. ambassador to Egypt refused to accompany Giovanni Migliuolo on a helicopter flight to Port Said?",Nicholas A. Veliotes,True
1697875,"Along with the Twelfth and Twentieth Amendments, which article and section of the United States Constitution governs the process for electing the President-elect of the United States?","Article II, Section 1, Clause 2",True
5728051,To which plant family does Cyanthillium wollastonii belong?,Asteraceae,True
8255158,"What is the title of Federico García Lorca's last poetic work, published in 1936?",Sonetos de amor oscuro,True
3421470,What professions did Max Barber hold?,"journalist, teacher and dentist",True
2887122,"In September 1947, which act went into effect in the United States that merged the Department of War and the Department of the Navy into the National Military Establishment?",The National Security Act of 1947,True
2609048,"Which magazine gave a positive write-up to ""The Chemicals""?",Nylon,False
1102152,"In U.S. Army organizational doctrine, what classification groups the Combat arms branches, and four other branches, into functional areas?","Maneuver, Fires and Effects",False
7674171,What percentage of the world's passenger aircraft fleet is powered by Pratt & Whitney's large commercial engines?,more than 25 percent,True
3641459,In which nunataks of the north-central Shackleton Range are the Morris Hills located?,La Grange Nunataks,True
8076561,"According to the article on Convergent evolution, what is one example of a photosynthesis pathway that has repeatedly developed in plants due to convergent evolution?",C4 photosynthesis,True
8623067,"According to Population density, what is the worldwide human population density calculated when only the Earth's land area is considered, including Antarctica?",human population density is,False
3285261,On what date was Brazilian sprint canoeist Isaquias Queiroz born?,3 January 1994,True
7870856,"Under Section 106 of the National Historic Preservation Act of 1966, to which council must a federal agency director first report if a project may affect a property listed in the National Register of Historic Places?",Advisory Council on Historic Preservation,True
2475447,In what year was Robert Smart promoted to vice admiral?,December 1863,False
5016757,"In 'The Possession', what item does Em discover at a yard sale that seems to have no way to open it?",a box,True
7644257,How many consulates general have offices in the San Francisco Bay Area?,41,True
6872836,"What class of locomotive is the London, Brighton and South Coast Railway No. 42 His Majesty?",LB&SCR B4 class 4-4-0 tender locomotive,False
7687939,"On January 12, 2006, which organization was ordered by the Uzbek government to suspend operations in Uzbekistan?",Freedom House,True
2247130,"On what 1921 novel was the film ""The Last Lion"" based?",Uit oerwoud en vlakte,True
1938805,"According to the 'Musical instrument' passage, which instrument was the principal one used by Greek musicians to honor the gods?",Lyres,True
1122530,"According to the concept of Batting average in baseball, how is BA defined?",the number of hits divided by at bats,False
4698160,Between which two years did the rank of Deputy commander exist in London's Metropolitan Police?,1946 and 1968,True
89924,"According to the concept of Soil health, name one specific benchmark used to evaluate soil health.",CO2 release,True
7919751,What event involved the locomotive The General being commandeered during the American Civil War?,the Great Locomotive Chase,True
3913485,How many passengers did Saint Barthélemy's airport record in 2022?,"218,984",True
7662682,"According to the Space station article, what was the Apollo command and service module used for after docking maneuvers?",a lunar orbiting module which was used for station-like purposes,False
